codigo_tse,urnas_apuradas,eleitorado,abstencoes,total_votos,abstencoes_pct,brancos_pct,nulos_pct,nome,numero,votos_validos,pct_votos_validos,eleito
87211,"100,00",20397,5607,14790,"27,49","4,83","4,10",PROFESSOR SABÃO,40,2317,"17,20",Não eleito
87211,"100,00",20397,5607,14790,"27,49","4,83","4,10",MARIA DA GRAÇA,13,3004,"22,30",Não eleito
84905,"100,00",3450,366,3084,"10,61","0,84","1,59",MARCOS FINGER PIRES,11,1609,"53,47",Eleito
84905,"100,00",3450,366,3084,"10,61","0,84","1,59",ALEMÃO,12,1400,"46,53",Não eleito
88587,"100,00",2849,296,2553,"10,39","2,04","1,21",NEI AZEREDO,15,1426,"57,73",Eleito
88587,"100,00",2849,296,2553,"10,39","2,04","1,21",JOAO ZICO,11,1044,"42,27",Não eleito
98299,"100,00",6085,738,5347,"12,13","1,52","1,23",ZÉ ROBERTO,20,2255,"43,37",Não eleito
98299,"100,00",6085,738,5347,"12,13","1,52","1,23",ADRIANO MARANGON,11,2401,"46,17",Eleito
98299,"100,00",6085,738,5347,"12,13","1,52","1,23",DEJA BURTET,13,544,"10,46",Não eleito
87254,"100,00",14822,2538,12284,"17,12","1,41","2,34",BERNARDO,45,6228,"52,68",Eleito
87254,"100,00",14822,2538,12284,"17,12","1,41","2,34",JOÃO VESTENA,40,5595,"47,32",Não eleito
89281,"100,00",2324,154,2170,"6,63","0,69","1,34",LUIZ FRANCISCO FAGUNDES,11,1154,"54,28",Eleito
89281,"100,00",2324,154,2170,"6,63","0,69","1,34",SIDINEI BACH,13,972,"45,72",Não eleito
86886,"100,00",1590,107,1483,"6,73","0,47","0,74",JULI,15,249,"17,00",Não eleito
86886,"100,00",1590,107,1483,"6,73","0,47","0,74",SERGIO LASCH,14,682,"46,55",Eleito
86886,"100,00",1590,107,1483,"6,73","0,47","0,74",DIONISIO PEDRO WAGNER,11,534,"36,45",Não eleito
87270,"100,00",19849,3972,15877,"20,01","3,16","2,57",GUSTAVO BONOTTO,11,10993,"73,45",Eleito
87270,"100,00",19849,3972,15877,"20,01","3,16","2,57",RÔMULO SILVA,12,3974,"26,55",Não eleito
85260,"100,00",4600,467,4133,"10,15","39,01","6,99",CIRANO CAMARGO,12,2232,"100,00",Eleito
87297,"100,00",60950,14332,46618,"23,51","5,39","5,14",DANIEL FONTANA,40,2038,"4,89",Não eleito
87297,"100,00",60950,14332,46618,"23,51","5,39","5,14",MÁRCIA SCHERER,15,9950,"23,86",Não eleito
87297,"100,00",60950,14332,46618,"23,51","5,39","5,14",MARCELO CAUMO,11,29719,"71,26",Eleito
86860,"100,00",1980,120,1860,"6,06","1,08","2,04",BETO,11,923,"51,22",Eleito
86860,"100,00",1980,120,1860,"6,06","1,08","2,04",PEDRO,13,879,"48,78",Não eleito
87319,"100,00",5334,844,4490,"15,82","1,76","2,63",ALFREDO BORGES,11,1662,"38,71",Não eleito
87319,"100,00",5334,844,4490,"15,82","1,76","2,63",SÁVIO PRESTES,12,2631,"61,29",Eleito
87335,"100,00",4382,442,3940,"10,09","1,29","2,44",VINI,40,1477,"38,94",Não eleito
87335,"100,00",4382,442,3940,"10,09","1,29","2,44",SIDI,12,382,"10,07",Não eleito
87335,"100,00",4382,442,3940,"10,09","1,29","2,44",JULI,11,1934,"50,99",Eleito
86908,"100,00",4466,482,3984,"10,79","1,83","2,91",GASPAR BEHNE,11,1339,"35,28",Eleito
86908,"100,00",4466,482,3984,"10,79","1,83","2,91",ALCEU HEINLE,15,1301,"34,28",Não eleito
86908,"100,00",4466,482,3984,"10,79","1,83","2,91",GILMAR DE QUADROS  GORDINHO,13,1155,"30,43",Não eleito
86924,"100,00",1414,167,1247,"11,81","1,12","2,17",LUANA LAIS SCHWANTES,13,565,"46,85",Não eleito
86924,"100,00",1414,167,1247,"11,81","1,12","2,17",HENRIQUE,15,641,"53,15",Eleito
87351,"100,00",4619,435,4184,"9,42","2,04","3,27",TIR,15,2263,"57,12",Eleito
87351,"100,00",4619,435,4184,"9,42","2,04","3,27",VOLMA,14,1699,"42,88",Não eleito
88943,"100,00",2849,138,2711,"4,84","0,89","1,03",DEGÃO,14,1228,"46,18",Não eleito
88943,"100,00",2849,138,2711,"4,84","0,89","1,03",PEDRÃO,15,1431,"53,82",Eleito
86940,"100,00",5405,955,4450,"17,67","1,15","1,37",GUSTAVO,12,2676,"61,69",Eleito
86940,"100,00",5405,955,4450,"17,67","1,15","1,37",ROITMAN,11,1662,"38,31",Não eleito
86967,"100,00",5714,811,4903,"14,19","1,59","1,92",EDINHO,11,2244,"47,43",Não eleito
86967,"100,00",5714,811,4903,"14,19","1,59","1,92",JOÃO MARCOS,12,2487,"52,57",Eleito
86983,"100,00",2301,165,2136,"7,17","0,61","1,22",GISELE SCHNEIDER,10,1000,"47,69",Eleito
86983,"100,00",2301,165,2136,"7,17","0,61","1,22",MIGUEL BROILO,17,178,"8,49",Não eleito
86983,"100,00",2301,165,2136,"7,17","0,61","1,22",PAULO ABRAHAM,14,919,"43,82",Não eleito
87378,"100,00",31235,5857,25378,"18,75","2,34","2,23",VALDECIR FILIPPI,45,587,"2,42",Não eleito
87378,"100,00",31235,5857,25378,"18,75","2,34","2,23",DALL&apos;ACQUA,11,7414,"30,61",Não eleito
87378,"100,00",31235,5857,25378,"18,75","2,34","2,23",IURA,15,16218,"66,96",Eleito
87394,"100,00",3827,391,3436,"10,22","0,88","1,86",DELFIM,15,2126,"63,61",Eleito
87394,"100,00",3827,391,3436,"10,22","0,88","1,86",MOMO,13,1216,"36,39",Não eleito
87009,"100,00",3424,536,2888,"15,65","2,04","2,22",ENG PAULO GEMELLI,17,95,"3,44",Não eleito
