codigo_cidade_tse,urnas_apuradas,eleitorado,abstencoes,total_votos,abstencoes_pct,brancos_pct,nulos_pct,nome,numero,votos_validos,pct_votos_validos,eleito
69698,"100,00",441845,157340,284505,"35,61","3,85","10,21",DUARTE NOGUEIRA,45,154428,"63,16",Eleito
71455,"100,00",485962,138912,347050,"28,58","4,63","11,40",RODRIGO MANGA,10,153228,"52,58",Eleito
71455,"100,00",485962,138912,347050,"28,58","4,63","11,40",JAQUELINE COUTINHO,17,138201,"47,42",Não eleito
71072,"100,00",8986687,2769179,6217508,"30,81","4,40","9,76",GUILHERME BOULOS,50,2168109,"40,62",Não eleito
71072,"100,00",8986687,2769179,6217508,"30,81","4,40","9,76",BRUNO COVAS,45,3169121,"59,38",Eleito
71218,"100,00",252146,80462,171684,"31,91","1,95","4,04",SOLANGE FREITAS,45,70526,"43,70",Não eleito
71218,"100,00",252146,80462,171684,"31,91","1,95","4,04",KAYO AMADO,19,90876,"56,30",Eleito
71579,"100,00",217479,63955,153524,"29,41","4,32","8,39",APRIGIO,19,67853,"50,63",Eleito
71579,"100,00",217479,63955,153524,"29,41","4,32","8,39",ENGENHEIRO DANIEL,45,66158,"49,37",Não eleito
71838,"100,00",229200,72373,156827,"31,58","3,19","5,81",SAUD,15,92770,"65,01",Eleito
71838,"100,00",229200,72373,156827,"31,58","3,19","5,81",LORENY,23,49942,"34,99",Não eleito
