"NOME_URNA_CANDIDATO","CODIGO_CARGO","SIGLA_UE","NUMERO_CANDIDATO","NUM_TURNO","ANO_ELEICAO"
"DELEGADO AGUILA MISUTA",11,"76678",15,1,2020
"PATRICIA",11,"90859",45,1,2020
"PER CENTENARIO",11,"74993",70,1,2020
"JOAQUIM AZEVEDO",11,"38016",50,1,2020
"CARLOS MONTEIRO",11,"20516",18,1,2020
"QUINZINHO PEDROSO",11,"63614",70,1,2020
"FERNANDA SILVA",11,"39535",13,1,2020
"POLICIAL FEDERAL MAURO ROMAN",11,"66893",28,1,2020
"LUCIANO LOCAR",11,"36510",25,1,2020
"FATIMA DAUDT",11,"87718",45,1,2020
"PECINHA",11,"79650",22,1,2020
"DELEGADA PATRICIA",11,"25313",19,1,2020
"LUCIANO GUERRA",11,"88412",13,1,2020
"VALERIANO",11,"92215",17,1,2020
"ELIAS VAZ",11,"93734",40,1,2020
"MAIRTON BARRETO",11,"72338",65,1,2020
"DECIO LAGARES",11,"00256",15,1,2020
"MARCOS SANTANA",11,"32336",15,1,2020
"DARIO SAADI",11,"62910",10,1,2020
"RAIR ANICIO",11,"46256",16,1,2020
"LILA ALENCAR",11,"10022",13,1,2020
"EMANUELLA MOURA",11,"27090",25,1,2020
"MARCELO STACHIN",11,"89850",28,1,2020
"MARCIO PONTES",11,"09130",65,1,2020
"RONILTON",11,"54453",55,1,2020
"NONATINHO SINDICATO",11,"10537",13,1,2020
"DR ALEXANDRE BANDIERA",11,"63096",11,1,2020
"MACIEL GOMES",11,"18597",22,1,2020
"LAMARTIM POSTO CANAA",11,"05452",14,1,2020
"FELIPE AUGUSTO",11,"71153",45,1,2020
"JUNINHO KERGINALDO",11,"18597",10,1,2020
"JUNIOR PERCY",11,"10391",11,1,2020
"JOERCIO",11,"10804",15,1,2020
"DR ROBERTH",11,"09334",10,1,2020
"IRMAO ANTONILTO",11,"08176",27,1,2020
"CLEINALDO BIL",11,"09490",19,1,2020
"MATHIAS BERTRAM",11,"88390",14,1,2020
"EDSON MAGALHAES",11,"56472",45,1,2020
"FERNANDO FURTADO",11,"08060",77,1,2020
"EVILASIO COSTA",11,"56111",12,1,2020
"TIAGO PISO",11,"92703",17,1,2020
"DELEGADO ZUCCO",11,"87718",10,1,2020
"ALVARO",11,"17612",45,1,2020
"XANDAO PATRIOTA",11,"05614",51,1,2020
"JULIANA CAPITA MEDICA",11,"70475",28,1,2020
"FUFUCA",11,"07048",11,1,2020
"RITA RODRIGUES",11,"36617",65,1,2020
"FLAVIO BEROI",11,"17655",15,1,2020
"PLACIDINO STABILE",11,"54038",15,1,2020
"CLAUDIA BACELAR",11,"07013",10,1,2020
"ZE CARLOS PATIO",11,"91510",77,1,2020
"CORONEL AUDILENE",11,"76910",11,1,2020
"SERGIO GHIGNATTI",11,"85596",22,1,2020
"JAIDY OLIVEIRA SOUSA",11,"17612",27,1,2020
"PROFESSORA BETANIA",11,"07773",45,1,2020
"RANIERY",11,"00337",25,1,2020
"GUSTAVO NUNES",11,"46256",17,1,2020
"JADSON HELENO",11,"46256",25,1,2020
"UBALDO BARROS",11,"91510",23,1,2020
"FIRMATO AUGUSTO",11,"42315",20,1,2020
"RAIMUNDO FILHO",11,"07340",15,1,2020
"ANTONIO VIEIRA NETO",11,"93734",21,1,2020
"DR HELDER",11,"95613",77,1,2020
"CORONEL WAGNER",11,"57037",22,1,2020
"DR MARCOS CESCHIN",11,"75043",19,1,2020
"CALVET FILHO",11,"08915",20,1,2020
"PROFESSOR FELIZARDO",11,"14630",90,1,2020
"LUIZ VASQUEZ O GORDO",11,"02259",25,1,2020
"PROFESSORA FAFA",11,"09377",50,1,2020
"THIAGO MARISTELA",11,"36714",55,1,2020
"LUCIO FLAVIO",11,"31054",70,1,2020
"CASSIO ANDRADE",11,"04278",40,1,2020
"WILSON CERQUEIRA",11,"66397",13,1,2020
"PAULO VITOR",11,"94315",25,1,2020
"MARCEL MUSCAT",11,"63614",17,1,2020
"ANABEL",11,"86835",12,1,2020
"JOAO ARRUDA",11,"75353",15,1,2020
"HENRIQUE SIMONARD",11,"60011",29,1,2020
"BRUNO FELIPE",11,"92274",50,1,2020
"LAGOINHA",11,"62812",15,1,2020
"NIL RAMOS",11,"72370",19,1,2020
"CAIO VIANNA",11,"58190",12,1,2020
"CRIS FERNANDES",11,"58130",55,1,2020
"AGMAR RIBEIRO",11,"95737",14,1,2020
"JEFFERSON MAC",11,"18597",45,1,2020
"CLEVERSON BOIM",11,"46337",10,1,2020
"WILSON MARCOS",11,"50431",77,1,2020
"NOLA",11,"81060",17,1,2020
"FARLEI FEDERAL",11,"93858",51,1,2020
"ORLANDO CARDOSO",11,"36757",55,1,2020
"SENNA",11,"70998",17,1,2020
"LUCIANO CASTRO",11,"03018",22,1,2020
"ERALDO",11,"91014",45,1,2020
"FLAVIO MAURICIO",11,"27510",11,1,2020
"DR MANIN",11,"10235",11,1,2020
