UF;ELE_UF;PARTIDO;FILIADOS
SE;1.602.105;PSC;6.409
SE;1.602.105;PSD;6.199
SE;1.602.105;PSDB;10.296
SE;1.602.105;PSL;5.175
SE;1.602.105;PSOL;1.185
SE;1.602.105;PSTU;823
SE;1.602.105;PT;15.793
SE;1.602.105;PTB;8.414
SE;1.602.105;PTC;2.797
SE;1.602.105;PV;5.111
SE;1.602.105;REDE;727
SE;1.602.105;REPUBLICANOS;4.690
SE;1.602.105;SOLIDARIEDADE;3.558
SP;31.724.548;AVANTE;35.677
SP;31.724.548;CIDADANIA;88.436
SP;31.724.548;DC;39.739
SP;31.724.548;DEM;128.478
SP;31.724.548;MDB;447.091
SP;31.724.548;NOVO;13.477
SP;31.724.548;PATRIOTA;79.177
SP;31.724.548;PCB;1.542
SP;31.724.548;PCDOB;72.923
SP;31.724.548;PCO;1.097
SP;31.724.548;PDT;141.802
SP;31.724.548;PHS;39
SP;31.724.548;PL;142.464
SP;31.724.548;PMB;9.832
SP;31.724.548;PMN;36.871
SP;31.724.548;PODE;70.263
SP;31.724.548;PP;192.882
SP;31.724.548;PROS;15.916
SP;31.724.548;PRP;89
SP;31.724.548;PRTB;21.881
SP;31.724.548;PSB;115.894
SP;31.724.548;PSC;56.400
SP;31.724.548;PSD;51.592
SP;31.724.548;PSDB;301.298
SP;31.724.548;PSL;86.619
SP;31.724.548;PSOL;34.879
SP;31.724.548;PSTU;3.644
SP;31.724.548;PT;359.108
SP;31.724.548;PTB;303.259
SP;31.724.548;PTC;21.869
SP;31.724.548;PV;88.826
SP;31.724.548;REDE;3.707
SP;31.724.548;REPUBLICANOS;75.218
SP;31.724.548;SOLIDARIEDADE;49.657
SP;31.724.548;UP;45
TO;1.023.821;AVANTE;1.394
TO;1.023.821;CIDADANIA;6.685
TO;1.023.821;DC;1.757
TO;1.023.821;DEM;18.106
TO;1.023.821;MDB;32.168
TO;1.023.821;NOVO;139
TO;1.023.821;PATRIOTA;3.679
TO;1.023.821;PCB;40
TO;1.023.821;PCDOB;2.203
TO;1.023.821;PCO;3
TO;1.023.821;PDT;7.668
TO;1.023.821;PL;11.811
TO;1.023.821;PMB;256
TO;1.023.821;PMN;2.233
TO;1.023.821;PODE;5.553
TO;1.023.821;PP;18.577
TO;1.023.821;PROS;2.123
TO;1.023.821;PRTB;3.237
TO;1.023.821;PSB;7.823
TO;1.023.821;PSC;4.796
TO;1.023.821;PSD;8.172
TO;1.023.821;PSDB;16.701
TO;1.023.821;PSL;5.420
TO;1.023.821;PSOL;696
TO;1.023.821;PSTU;9
TO;1.023.821;PT;12.601
TO;1.023.821;PTB;11.106
TO;1.023.821;PTC;2.441
TO;1.023.821;PV;7.155
TO;1.023.821;REDE;247
TO;1.023.821;REPUBLICANOS;6.187
TO;1.023.821;SOLIDARIEDADE;5.265
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
