UF;ELE_UF;PARTIDO;FILIADOS
CE;6.563.481;NOVO;592
CE;6.563.481;PATRIOTA;9.270
CE;6.563.481;PCB;324
CE;6.563.481;PCDOB;23.096
CE;6.563.481;PCO;87
CE;6.563.481;PDT;34.620
CE;6.563.481;PL;20.851
CE;6.563.481;PMB;2.432
CE;6.563.481;PMN;6.440
CE;6.563.481;PODE;17.161
CE;6.563.481;PP;35.312
CE;6.563.481;PROS;4.144
CE;6.563.481;PRTB;5.396
CE;6.563.481;PSB;26.518
CE;6.563.481;PSC;9.400
CE;6.563.481;PSD;13.155
CE;6.563.481;PSDB;51.229
CE;6.563.481;PSL;14.323
CE;6.563.481;PSOL;4.187
CE;6.563.481;PSTU;1.931
CE;6.563.481;PT;80.547
CE;6.563.481;PTB;31.877
CE;6.563.481;PTC;3.716
CE;6.563.481;PV;12.092
CE;6.563.481;REDE;2.059
CE;6.563.481;REPUBLICANOS;19.496
CE;6.563.481;SOLIDARIEDADE;4.903
CE;6.563.481;UP;64
DF;2.096.574;AVANTE;2.324
DF;2.096.574;CIDADANIA;5.084
DF;2.096.574;DC;727
DF;2.096.574;DEM;17.006
DF;2.096.574;MDB;24.511
DF;2.096.574;NOVO;740
DF;2.096.574;PATRIOTA;2.182
DF;2.096.574;PCB;478
DF;2.096.574;PCDOB;2.773
DF;2.096.574;PCO;114
DF;2.096.574;PDT;12.313
DF;2.096.574;PL;11.107
DF;2.096.574;PMB;242
DF;2.096.574;PMN;2.403
DF;2.096.574;PODE;4.222
DF;2.096.574;PP;18.955
DF;2.096.574;PROS;1.207
DF;2.096.574;PRTB;3.746
DF;2.096.574;PSB;6.309
DF;2.096.574;PSC;12.786
DF;2.096.574;PSD;608
DF;2.096.574;PSDB;24.560
DF;2.096.574;PSL;5.856
DF;2.096.574;PSOL;4.368
DF;2.096.574;PSTU;436
DF;2.096.574;PT;30.884
DF;2.096.574;PTB;6.913
DF;2.096.574;PTC;2.253
DF;2.096.574;PV;1.419
DF;2.096.574;REDE;590
DF;2.096.574;REPUBLICANOS;5.088
DF;2.096.574;SOLIDARIEDADE;6.425
ES;2.769.163;AVANTE;6.819
ES;2.769.163;CIDADANIA;14.643
ES;2.769.163;DC;3.857
ES;2.769.163;DEM;14.865
ES;2.769.163;MDB;37.762
ES;2.769.163;NOVO;853
ES;2.769.163;PATRIOTA;6.762
ES;2.769.163;PCB;334
ES;2.769.163;PCDOB;6.917
ES;2.769.163;PCO;133
ES;2.769.163;PDT;29.427
ES;2.769.163;PL;12.413
ES;2.769.163;PMB;2.193
ES;2.769.163;PMN;9.495
ES;2.769.163;PODE;9.674
ES;2.769.163;PP;27.527
ES;2.769.163;PROS;3.314
ES;2.769.163;PRTB;4.176
ES;2.769.163;PSB;21.670
ES;2.769.163;PSC;7.705
ES;2.769.163;PSD;5.000
ES;2.769.163;PSDB;26.025
ES;2.769.163;PSL;9.320
ES;2.769.163;PSOL;1.661
ES;2.769.163;PSTU;437
ES;2.769.163;PT;24.297
ES;2.769.163;PTB;19.986
ES;2.769.163;PTC;5.704
ES;2.769.163;PV;8.353
ES;2.769.163;REDE;2.067
ES;2.769.163;REPUBLICANOS;7.891
ES;2.769.163;SOLIDARIEDADE;4.044
GO;4.574.694;AVANTE;6.114
GO;4.574.694;CIDADANIA;17.028
GO;4.574.694;DC;9.226
GO;4.574.694;DEM;50.187
GO;4.574.694;MDB;122.964
GO;4.574.694;NOVO;701
GO;4.574.694;PATRIOTA;10.715
GO;4.574.694;PCB;395
GO;4.574.694;PCDOB;18.347
GO;4.574.694;PCO;94
GO;4.574.694;PDT;26.551
GO;4.574.694;PL;37.900
GO;4.574.694;PMB;1.601
GO;4.574.694;PMN;6.958
GO;4.574.694;PODE;20.180
GO;4.574.694;PP;54.405
GO;4.574.694;PROS;8.564
GO;4.574.694;PRTB;9.143
GO;4.574.694;PSB;20.388
