id,nome,siglaPartido,siglaUf,fundeb,orcamento,previdencia,wilson
179000,Marcelo Álvaro Antônio,PSL,MG,Não,NA,Sim,NA
146788,Marcelo Aro,PP,MG,Sim,Não,Sim,NA
205863,Marcelo Brum,PSL,RS,Não,Não,NA,Não
204433,Marcelo Calero,CIDADANIA,RJ,Sim,Sim,Sim,Não
76874,Marcelo Freixo,PSOL,RJ,Sim,Sim,Não,Não
133810,Marcelo Moraes,PTB,RS,NA,Não,Sim,Sim
204558,Marcelo Nilo,PSB,BA,Sim,Sim,Não,NA
204556,Marcelo Ramos,PL,AM,NA,Não,Sim,Sim
178983,Marcio Alvino,PL,SP,Não,Não,Sim,NA
179001,Márcio Biolchi,MDB,RS,Sim,Não,Sim,Sim
81055,Márcio Jerry,PCdoB,MA,Sim,Sim,Não,Sim
204452,Márcio Labre,PSL,RJ,Não,Não,Sim,Abstenção
150418,Márcio Marinho,REPUBLICANOS,BA,Não,Não,Sim,Sim
204522,Marco Bertaiolli,PSD,SP,Sim,Não,Sim,NA
160536,MARCO TEBALDI,PSDB,SC,NA,NA,NA,NA
160535,Marcon,PT,RS,Sim,Sim,Não,Sim
204431,Marcos Aurélio Sampaio,MDB,PI,Sim,Não,Sim,Sim
204506,Marcos Pereira,REPUBLICANOS,SP,Não,Não,Sim,Sim
178943,Marcos Soares,DEM,RJ,NA,NA,NA,NA
159238,Marcus Pestana,PSDB,MG,NA,NA,NA,NA
204430,Margarete Coelho,PP,PI,NA,Não,Sim,Sim
171619,Margarida Salomão,PT,MG,Sim,Sim,Não,NA
74398,Maria do Rosário,PT,RS,Sim,Sim,Não,Sim
204540,Maria Rosas,REPUBLICANOS,SP,Não,Não,Sim,Sim
178956,Mariana Carvalho,PSDB,RO,Sim,Não,Sim,Sim
204428,Marília Arraes,PT,PE,Sim,Sim,Não,NA
204432,Marina Santos,SOLIDARIEDADE,PI,NA,NA,Sim,Sim
74158,Mário Heringer,PDT,MG,NA,Sim,Não,Sim
178858,Mário Negromonte Jr.,PP,BA,Sim,Não,Não,Sim
204403,Marlon Santos,PDT,RS,Sim,Não,Sim,Não
204566,Marreca Filho,PATRIOTA,MA,Sim,Não,Sim,NA
178843,Marx Beltrão,PSD,AL,Sim,Não,Sim,NA
75431,Maurício Dziedricki,PTB,RS,Não,Não,Sim,Sim
204486,Mauro Benevides Filho,PDT,CE,Sim,Sim,NA,Sim
74749,Mauro Lopes,MDB,MG,Sim,Não,Sim,NA
141508,Mauro Nazif,PSB,RO,Sim,Sim,Não,Não
188097,Merlong Solano,PT,PI,Sim,NA,NA,NA
178984,Miguel Haddad,PSDB,SP,NA,NA,NA,Não
178985,Miguel Lombardi,PL,SP,Sim,Não,Sim,NA
92172,Milton Coelho,PSB,PE,NA,NA,NA,NA
154178,Milton Vieira,REPUBLICANOS,SP,Não,Não,Sim,Sim
178895,Misael Varella,PSD,MG,Não,Não,Sim,Não
178997,Moses Rodrigues,MDB,CE,NA,Não,Sim,NA
204453,Natália Bonavides,PT,RN,Sim,Sim,Não,Sim
204449,Nelson Barbudo,PSL,MT,Não,Não,Sim,Não
74571,Nelson Pellegrino,PT,BA,NA,NA,Não,NA
204415,Nereu Crispim,PSL,RS,Não,Não,Sim,Sim
146307,Neri Geller,PP,MT,NA,Não,Sim,NA
74165,Neucimar Fraga,PSD,ES,NA,NA,NA,NA
178896,Newton Cardoso Jr,MDB,MG,Sim,Não,Sim,NA
204384,Ney Leprevost,PSD,PR,NA,NA,NA,NA
204479,Nicoletti,PSL,RR,Sim,Não,Sim,Não
214445,Nilson F. Stainsack,PP,SC,Sim,NA,NA,NA
74352,Nilson Pinto,PSDB,PA,Sim,Não,Sim,Sim
178986,Nilto Tatto,PT,SP,Sim,Sim,Não,NA
194260,Nivaldo Albuquerque,PTB,AL,NA,Não,Sim,Sim
66179,Norma Ayub,DEM,ES,Sim,Não,Sim,Não
216198,Norma Pereira,PSDB,SC,NA,NA,NA,NA
74159,Odair Cunha,PT,MG,Sim,Sim,Não,Sim
178868,Odorico Monteiro,PSB,CE,NA,NA,NA,NA
204498,Olival Marques,DEM,PA,Sim,Não,Sim,Sim
74399,Onyx Lorenzoni,DEM,RS,NA,NA,Sim,NA
178987,Orlando Silva,PCdoB,SP,Sim,NA,Não,Sim
204363,Osires Damaso,PSC,TO,Sim,Não,Sim,Não
73692,Osmar Terra,MDB,RS,Sim,Não,NA,NA
204422,Ossesio Silva,REPUBLICANOS,PE,Não,Não,Sim,Sim
141515,Otavio Leite,PSDB,RJ,NA,NA,NA,NA
204441,Otoni de Paula,PSC,RJ,Não,Não,Sim,Não
204475,Ottaci Nascimento,SOLIDARIEDADE,RR,NA,Não,Sim,NA
204573,Otto Alencar Filho,PSD,BA,Sim,NA,Sim,Sim
160556,Padre João,PT,MG,Sim,Sim,Não,NA
74319,Paes Landim,PTB,PI,NA,Não,Sim,Sim
160642,Pastor Eurico,PATRIOTA,PE,Não,Não,Sim,Não
204570,Pastor Gil,PL,MA,Não,Não,Sim,Sim
204553,Pastor Sargento Isidório,AVANTE,BA,Sim,Sim,Sim,NA
205535,Patricia Ferraz,PODE,AP,NA,Sim,NA,Sim
74160,Patrus Ananias,PT,MG,Sim,Sim,Não,Sim
204377,Paula Belmonte,CIDADANIA,DF,Não,Não,Sim,Não
171617,Paulão,PT,AL,Sim,Sim,Não,Sim
141516,Paulo Abi-Ackel,PSDB,MG,Sim,NA,Sim,Sim
178860,Paulo Azi,DEM,BA,Não,Não,Sim,Sim
204538,Paulo Bengtson,PTB,PA,Sim,NA,Sim,Sim
193726,Paulo Eduardo Martins,PSC,PR,Não,Não,Sim,Não
160517,Paulo Foletto,PSB,ES,NA,NA,NA,NA
160558,Paulo Freire Costa,PL,SP,Não,Não,Sim,Não
204461,Paulo Ganime,NOVO,RJ,Não,Não,Sim,Não
204492,Paulo Guedes,PT,MG,Sim,Sim,Não,Sim
74574,Paulo Magalhães,PSD,BA,Sim,Não,Sim,Sim
128760,Paulo Marinho Jr,PL,MA,NA,Não,NA,NA
141518,Paulo Pereira da Silva,SOLIDARIEDADE,SP,NA,NA,Não,Sim
74400,Paulo Pimenta,PT,RS,Sim,Sim,Não,Sim
133968,Paulo Ramos,PDT,RJ,Sim,Sim,Não,Sim
141488,Paulo Teixeira,PT,SP,Sim,Sim,Não,Sim
90201,Pedro Augusto Bezerra,PTB,CE,Sim,Não,Sim,Sim
215045,Pedro Augusto Palareti,PSD,RJ,NA,NA,NA,NA
178912,Pedro Cunha Lima,PSDB,PB,Não,Sim,Sim,Não
122974,Pedro Lucas Fernandes,PTB,MA,NA,Não,Sim,Sim
204395,Pedro Lupion,DEM,PR,Não,Não,Sim,NA
122158,Pedro Paulo,DEM,RJ,Sim,Não,Sim,Sim
160604,Pedro Uczai,PT,SC,Sim,Sim,Não,NA
178844,Pedro Vilela,PSDB,AL,NA,NA,NA,NA
204406,Pedro Westphalen,PP,RS,Sim,Não,Sim,NA
73943,Perpétua Almeida,PCdoB,AC,NA,Sim,Não,Sim
204524,Pinheirinho,PP,MG,NA,Não,Sim,Sim
204529,Policial Katia Sastre,PL,SP,Não,NA,Sim,NA
73486,Pompeo de Mattos,PDT,RS,Sim,Sim,Não,Sim
160601,Pr. Marco Feliciano,REPUBLICANOS,SP,Não,Não,Sim,Não
204390,Professor Alcides,PP,GO,Sim,Não,Sim,Sim
204383,Professor Israel Batista,PV,DF,Sim,Sim,Não,Não
204446,Professor Joziel,PSL,RJ,Não,Não,Sim,Sim
204565,Professora Dayane Pimentel,PSL,BA,Não,Não,Sim,Não
160639,Professora Dorinha Seabra Rezende,DEM,TO,Sim,Não,Sim,NA
160641,Professora Marcivania,PCdoB,AP,Sim,Sim,Não,Sim
204467,Professora Rosa Neide,PT,MT,Sim,Sim,Não,Sim
215361,Rachel Marques,PT,CE,NA,NA,NA,NA
