"city","voto_obrig"
"1715754",4098
"1716109",27234
"1716208",4484
"1716307",2289
"1716505",6423
"1716604",5511
"1716653",2486
"1716703",4539
"1717008",2329
"1717206",1403
"1717503",3365
"1717800",2068
"1717909",3575
"1718006",1295
"1718204",28307
"1718303",2806
"1718402",1876
"1718451",1223
"1718501",1440
"1718550",1898
"1718659",813
"1718709",1312
"1718758",3034
"1718808",1605
"1718840",1838
"1718865",3045
"1718881",1430
"1718899",1122
"1718907",2103
"1719004",1234
"1720002",1154
"1720101",2079
"1720150",603
"1720200",4570
"1720259",1379
"1720309",1805
"1720499",2207
"1720655",2541
"1720804",3956
"1720853",910
"1720903",7444
"1720937",821
"1720978",1390
"1721000",145586
"1721109",2733
"1721208",11302
"1721257",848
"1721307",926
"1722081",5529
"1722107",5678
"2100055",51909
"2100105",1944
"2100154",4083
"2100204",10406
"2100303",8348
"2100402",4050
"2100436",9957
"2100477",11372
"2100501",4704
"2100550",2307
"2100600",14774
"2100709",11467
"2100808",5592
"2100832",6849
"2100873",5649
"2100907",15841
"2100956",9998
"2101004",13335
"2101103",5490
"2101202",48733
"2101251",7139
"2101301",6920
"2101350",2340
"2101400",43335
"2101509",8711
"2101608",34205
"2101707",21823
"2101731",1871
"2101772",4584
"2101806",2359
"2101905",9783
"2101939",2823
"2101970",3067
"2102002",14687
"2102036",11337
"2102077",5844
"2102101",12950
"2102150",1869
"2102200",10026
"2102309",8958
"2102325",24977
"2102358",5908
"2102374",2984
"2102408",4712
"2102507",7688
"2102556",6290
"2102606",8328
"2102705",8159
"2102754",4268
"2102804",11793
"2102903",9911
"2103000",69536
"2103109",5207
"2103125",3191
"2103158",4895
"2103174",7138
"2103208",31399
"2103257",6040
"2103307",47714
"2103406",18655
"2103505",15450
"2103554",4886
"2103604",24282
"2103703",16004
"2103752",5574
"2103802",10432
"2103901",3766
"2104008",7391
"2104057",19114
"2104073",3512
"2104081",2908
"2104099",8108
"2104107",5722
"2104206",5823
"2104305",5383
"2104404",6689
"2104503",4151
"2104552",7616
"2104602",5721
"2104628",2854
"2104651",4105
"2104677",10186
"2104701",2672
"2104800",26169
"2104909",6149
"2105005",10155
"2105104",10120
"2105153",4923
"2105203",4981
"2105302",143336
"2105351",4947
"2105401",26085
"2105427",11260
"2105450",3175
"2105476",5183
"2105500",9595
"2105609",5926
"2105658",1542
"2105708",18393
"2105807",3958
"2105906",5619
"2105922",4338
"2105948",3237
"2105963",3389
"2105989",3324
"2106003",4647
"2106102",5133
"2106201",3080
"2106300",7112
"2106326",7751
"2106359",2425
"2106375",6124
"2106409",6048
"2106508",10568
"2106607",10814
"2106631",5183
"2106672",2746
"2106706",7809
"2106755",12099
"2106805",6944
"2106904",12336
"2107001",4347
"2107100",6403
"2107209",4477
"2107258",2073
"2107308",1805
"2107357",7729
"2107407",7376
"2107456",5755
"2107506",65288
"2107605",8339
"2107704",8408
"2107803",12466
"2107902",6339
"2108009",7963
"2108058",5020
"2108108",7071
"2108207",19689
"2108256",8866
"2108306",14806
"2108405",6810
"2108454",7644
"2108504",14057
"2108603",39238
"2108702",8150
"2108801",6559
"2108900",7931
"2109007",11123
"2109056",3118
"2109106",21813
"2109205",4203
"2109239",2802
"2109270",6484
"2109304",3982
"2109403",5273
"2109452",13497
"2109502",9526
"2109551",3291
"2109601",19460
"2109700",2325
"2109759",2673
"2109809",17393
"2109908",39018
"2110005",26355
"2110039",10117
"2110104",10685
"2110203",15150
"2110237",4202
"2110278",5372
"2110302",6090
"2110401",6208
"2110500",20684
"2110609",10594
"2110658",2785
"2110708",13901
"2110807",2003
"2110856",4294
"2110906",4478
"2111003",9646
"2111029",4018
"2111052",5017
"2111078",5555
"2111102",11421
"2111201",97765
"2111250",2885
"2111300",656261
"2111409",7389
"2111508",15312
"2111532",4969
"2111573",2035
"2111607",8137
"2111631",1963
