"UF";"Município";"(A)";"(P)";"% de P/A";"(R)";"% de R/A";"Data início";"Data fim";"Data fim prorrogada";
"MA";"Nova Iorque";"3.842";"0";"0,00%";"2.920";"76,00%";"09/11/2012";"08/12/2012";""
"MA";"Benedito Leite";"4.366";"0";"0,00%";"2.891";"66,22%";"18/01/2012";"16/02/2012";""
"MA";"Pastos Bons";"13.193";"0";"0,00%";"9.407";"71,30%";"09/11/2012";"08/12/2012";""
"MA";"São Domingos do Azeitão";"5.626";"0";"0,00%";"4.177";"74,24%";"09/11/2012";"08/12/2012";""
"MG";"Santa Efigênia de Minas";"3.875";"0";"0,00%";"2.951";"76,15%";"02/01/2012";"29/02/2012";""
"MG";"Divinésia";"3.236";"0";"0,00%";"2.799";"86,50%";"02/01/2012";"29/02/2012";""
"MG";"Galiléia";"5.367";"0";"0,00%";"4.262";"79,41%";"02/01/2012";"29/02/2012";""
"MG";"Umburatiba";"2.476";"0";"0,00%";"1.985";"80,17%";"02/01/2012";"31/01/2012";""
"MG";"Santo Antônio do Rio Abaixo";"1.791";"0";"0,00%";"1.418";"79,17%";"02/01/2012";"31/01/2012";""
"MG";"Marmelópolis";"2.874";"0";"0,00%";"2.176";"75,71%";"02/01/2012";"29/02/2012";""
"MG";"Faria Lemos";"3.073";"0";"0,00%";"2.441";"79,43%";"02/01/2012";"29/02/2012";""
"MG";"Cachoeira Dourada";"2.495";"0";"0,00%";"1.822";"73,03%";"02/01/2012";"31/01/2012";""
"MG";"Estrela Dalva";"2.296";"0";"0,00%";"2.017";"87,85%";"02/01/2012";"29/02/2012";""
"MS";"Vicentina";"4.625";"0";"0,00%";"3.945";"85,30%";"27/02/2012";"30/03/2012";""
"MS";"Camapuã";"11.404";"0";"0,00%";"8.971";"78,67%";"27/01/2012";"30/03/2012";""
"MS";"Jateí";"3.448";"0";"0,00%";"2.899";"84,08%";"23/01/2012";"24/02/2012";""
"MS";"Sidrolândia";"26.679";"0";"0,00%";"22.176";"83,12%";"19/01/2012";"30/03/2012";""
"MS";"Ribas do Rio Pardo";"12.565";"0";"0,00%";"10.145";"80,74%";"25/01/2012";"30/03/2012";""
"PA";"Peixe-Boi";"6.788";"0";"0,00%";"5.618";"82,76%";"08/03/2012";"01/04/2012";""
"PB";"Santana dos Garrotes";"6.160";"0";"0,00%";"4.762";"77,31%";"23/01/2012";"23/03/2012";""
"PB";"Piancó";"11.716";"0";"0,00%";"10.240";"87,40%";"23/01/2012";"23/03/2012";""
"Total";"";"137.895";"0";"0,00%";"110.022";"79,79%";"";"";""
