"UF";"Município";"(A)";"(P)";"% de P/A";"(R)";"% de R/A";"Data início";"Data fim";"Data fim prorrogada";
"AP";"Pedra Branca do Amapari";"7.672";"0";"0,00%";"6.104";"79,56%";"15/01/2014";"28/03/2014";""
"AP";"Serra do Navio";"3.212";"0";"0,00%";"2.576";"80,20%";"15/01/2014";"28/03/2014";""
"AP";"Itaubal";"4.061";"0";"0,00%";"1.629";"40,11%";"14/01/2014";"28/03/2014";""
"AP";"Cutias";"3.389";"0";"0,00%";"1.638";"48,33%";"14/01/2014";"28/03/2014";""
"ES";"Alegre";"24.840";"0";"0,00%";"14.381";"57,89%";"20/01/2014";"28/03/2014";"02/04/2014"
"ES";"Rio Novo do Sul";"9.714";"0";"0,00%";"5.503";"56,65%";"13/01/2014";"28/03/2014";"02/04/2014"
"ES";"Ibiraçu";"9.292";"0";"0,00%";"4.162";"44,79%";"20/01/2014";"28/03/2014";"02/04/2014"
"ES";"Itapemirim";"26.199";"4";"0,02%";"15.741";"60,08%";"13/01/2014";"28/03/2014";"02/04/2014"
"ES";"Muniz Freire";"14.809";"0";"0,00%";"8.277";"55,89%";"20/01/2014";"28/03/2014";"02/04/2014"
"MT";"Campos de Júlio";"4.106";"0";"0,00%";"2.747";"66,90%";"03/02/2014";"28/02/2014";""
"PR";"Campo Largo";"82.516";"6";"0,01%";"68.450";"82,95%";"13/01/2014";"28/03/2014";""
"RN";"Assú";"40.435";"11";"0,03%";"35.483";"87,75%";"13/03/2014";"12/04/2014";""
"RN";"Baraúna";"17.890";"0";"0,00%";"15.915";"88,96%";"28/01/2014";"04/04/2014";""
"RN";"Carnaubais";"8.662";"7";"0,08%";"7.074";"81,67%";"13/03/2014";"12/04/2014";""
"RN";"Serra do Mel";"8.975";"22";"0,25%";"7.455";"83,06%";"28/01/2014";"04/04/2014";""
"RN";"Mossoró";"166.567";"2";"0,00%";"143.407";"86,10%";"28/01/2014";"04/04/2014";""
"RN";"Itajá";"6.786";"62";"0,91%";"5.313";"78,29%";"13/03/2014";"12/04/2014";""
"RN";"Ipanguaçu";"12.722";"16";"0,13%";"10.425";"81,94%";"13/03/2014";"12/04/2014";""
"RN";"Porto do Mangue";"4.695";"4";"0,09%";"3.817";"81,30%";"13/03/2014";"12/04/2014";""
"RS";"Centenário";"2.571";"0";"0,00%";"2.229";"86,70%";"13/01/2014";"26/03/2014";""
"RS";"Cristal do Sul";"2.518";"0";"0,00%";"2.058";"81,73%";"13/01/2014";"19/03/2014";""
"RS";"Almirante Tamandaré do Sul";"1.988";"0";"0,00%";"1.577";"79,33%";"13/01/2014";"26/03/2014";""
"RS";"Relvado";"2.108";"0";"0,00%";"1.691";"80,22%";"03/02/2014";"26/03/2014";""
"RS";"São Jorge";"2.574";"0";"0,00%";"2.206";"85,70%";"13/01/2014";"26/03/2014";""
"RS";"Carlos Gomes";"1.525";"0";"0,00%";"1.150";"75,41%";"13/01/2014";"26/02/2014";""
"SC";"Paulo Lopes";"5.654";"0";"0,00%";"4.333";"76,64%";"14/01/2014";"16/03/2014";""
"SC";"Águas Mornas";"5.264";"0";"0,00%";"4.440";"84,35%";"14/01/2014";"16/03/2014";""
"SC";"Rancho Queimado";"2.567";"21";"0,82%";"2.264";"88,20%";"14/01/2014";"16/03/2014";""
"SC";"São Bonifácio";"2.550";"0";"0,00%";"2.316";"90,82%";"14/01/2014";"16/03/2014";""
"SC";"Governador Celso Ramos";"12.935";"0";"0,00%";"9.438";"72,96%";"14/01/2014";"16/03/2014";""
"TO";"São Félix do Tocantins";"1.270";"0";"0,00%";"1.010";"79,53%";"17/11/2014";"16/12/2014";""
"Total";"";"500.066";"155";"0,03%";"394.809";"78,95%";"";"";""
