"nivel";"ano";"codigo_assunto";"nome_assunto";"dispositivo_legal_assunto";"denuncias";"tempo_mediano"
"Estado";2020;9707;"Da Poluição";"Arts. 54 a 61, Lei Federal nº 9605/98.";76;108
"Estado";2020;9626;"Falsidade ideológica";"Art. 299, CP.";75;162
"Estado";2020;9705;"Crimes contra a Fauna";"Lei Federal nº 5.197/67 e Arts. 29 a 37, Lei Federal nº 9605/98.";74;443
"Estado";2020;8670;"Corromper ou facilitar a corrupção de menor de 18 anos, com ele praticando infração penal ou induzindo-o a praticar";"Art. 244-B, Lei Federal nº 8069/90 (ECA).";69;16
"Estado";2020;9721;"Crimes de Trânsito";"Arts. 302 a 312, Lei Federal nº 9503/97.";65;108
"Estado";2020;9635;"Falsa identidade";"Art. 307 e 308, CP.";59;28
"Estado";2020;6859;"Constituição de milícia privada";"Art. 288-A, CP.";56;17
"Estado";2020;9745;"Produção, Recarga, Reciclagem sem Autorização Legal ou Adulteração de Munição ou Explosivo ";"Art. 12, Lei Federal nº 10.826/03.";56;28,5
"Estado";2020;9452;"Maus Tratos";"Art. 136, CP.";54;441,5
"Estado";2020;9701;"Crimes contra a Ordem Econômica";"Arts. 4º ao 6º, Lei Federal nº 8.137/90 e  e arts. 1º e 2, Lei Federal nº 8.176/91.";54;68
"Estado";2020;9742;"Posse, detenção, Fabrico ou Emprego de Artefato Explosivo ou Incendiário";"Arts. 16, inc. III, Lei Federal nº 10.826/03.";54;10
"Estado";2020;9731;"Permissão, Confiança ou Entrega da Direção de veículo à Pessoa não Habilitada - Art. 310";"Art. 310,  Lei Federal nº 9503/97";50;196,5
"Estado";2020;9687;"Indução, Instigação ou Auxílio ao Uso de Drogas";"Art. 33, § 2º, Lei Federal nº 11.343/06.";48;17
"Estado";2020;6667;"Exercício Ilegal de Profissão Ou Atividade";"DL 3688/1941 Art. 47.";47;401
"Estado";2020;11376;"Divulgação de cena de estupro, sexo ou pornografia";"Art. 218-C do Código Penal";46;59
"Estado";2020;8096;"Violência Doméstica contra a Mulher";"Lei 11.340/2006 - Artigo 7º";44;40
"Estado";2020;9749;"Crimes Previstos no Estatuto da criança e do adolescente";"Arts. 228 a 244-B, Lei Federal nº 8069/90 (ECA).";44;14,5
"Estado";2020;9519;"Roubo Qualificado pelo Resultado Lesão Corporal Grave";"Art. 157, § 3º , primeira parte, CP.";43;34
"Estado";2020;6864;"Tortura Simples";"art. 1º, caput, incisos I e II, e §1º, da Lei nº 9.455/97";42;42
"Estado";2020;9535;"Destruição / Subração / Ocultação de Cadáver";"Art. 211, CP.";41;64
"Estado";2020;9700;"Crimes contra a Ordem Tributária";"Art. 1º a 3º, Lei Federal nº 8.137/90 e art 1º, Lei Federal nº 4.729/65.";41;359
"Estado";2020;9442;"Gravíssima ";"Art. 129, § 2º, CP.";40;49
"Estado";2020;9733;"Crimes do Sistema Nacional de Armas";"Arts. 12 a 18, Lei Federal nº 10.826/03.";40;22,5
"Estado";2020;6702;"Porte de arma (branca)";"DL 3688/1941, art 19. ";35;57
"Estado";2020;9521;"Violação de direito autoral";"Art. 184, CP e art. 12, Lei Federal n. 9609/98.";35;694
"Estado";2020;9479;"Extorsão mediante seqüestro";"Art. 159, CP.";34;53
"Estado";2020;9561;"Estupro qualificado pelo resultado lesão corporal grave ou contra vítima entre 14 e 18 anos";"Art. 213, § 1º, CP.";33;28
"Estado";2020;9625;"Falsificação de documento particular";"Art. 298, CP.";33;251
"Estado";2020;8473;"Estupro de Vulnerável";"Art. 217-A, CP.";32;35
"Estado";2020;9633;"Supressão de documento";"Art. 305,  CP.";32;152
"Estado";2020;10821;"Lesão corporal culposa";"Art. 129, § 6°, CP.";31;64
"Estado";2020;9448;"Abandono de incapaz";"Art. 133, CP.";30;356,5
"Estado";2020;9556;"Satisfação de lascívia mediante presença de criança ou adolescente";"Art. 218-A, CP.";30;110
"Estado";2020;9871;"Falso testemunho ou falsa perícia";"Arts. 342 e 343, CP.";30;60
"Estado";2020;9652;"Peculato";"Art. 312, caput e § 1º, CP.";27;69
"Estado";2020;9702;"Crimes contra as Relações de Consumo";"Art. 7º, Lei Federal nº 8.137/90 e Arts. 61 a 80, Lei Federal nº 8078/90.";27;31
"Estado";2020;8392;"Furto (art. 155)";"Art. 155, CP.";26;49
"Estado";2020;9600;"Falsificação / Corrupção / Adulteração / Alteração de produto destinado a fins terapêuticos ou medicinais";"Art. 273, CP.";26;27
"Estado";2020;8395;"Roubo (art. 157)";"Art. 157, CP.";25;53
"Estado";2020;9725;"Afastamento do Local do Acidente";"Art. 305, Lei Federal nº 9503/97. ";25;35
"Estado";2020;9741;"Modificação das Características de Arma de Fogo - Art. 16, § único, II";"Art. 16, inc. II, Lei Federal nº 10.826/03.";25;8
"Estado";2020;9807;"Crimes Previstos no Estatuto do Idoso";"Arts. 96 a 108, Lei Federal nº 10.741/03. ";25;273
"Estado";2020;8588;"Tráfico de Drogas e Condutas Afins";"Art. 33, caput e  § 1º, Lei Federal nº 11.343/06.";24;10
"Estado";2020;9545;"Ultraje Público ao Pudor (Ato/Escrito Obsceno)";"Arts. 233 e 234, CP.";24;235,5
"Estado";2020;9563;"Estupro de pessoa equiparada a vulnerável por qualquer causa que diminua a resistência";"Art. 217-A, § 1º, CP.";24;30
"Estado";2020;6706;"Promoção de Tumulto, Prática Ou Incitação de Violência";"Art. 41-B, 1ª parte, da Lei 10671/2003";23;326
"Estado";2020;9542;"Atentado Violento ao Pudor";"Art. 214, CP.";23;2357
"Estado";2020;9680;"Crimes contra a Economia Popular";"Arts. 1º a 30, Lei Federal nº 1521/51.";23;196
"Estado";2020;9706;"Crimes contra a Flora";"Arts. 38 a 53, Lei Federal nº 9605/98.";23;99
"Estado";2020;9869;"Comunicação falsa de crime ou de contravenção";"Art. 340, CP.";23;136
"Estado";2020;6708;"Vender Ingresso de Evento Esportivo Por Preço Superior ao Estampado No Bilhete - Cambismo";"art. 41-F da Lei 10671/2003";22;530,5
"Estado";2020;8416;"Roubo Majorado";"Art. 157, § 2º, CP.";22;20
"Estado";2020;9688;"Oferecimento de Drogas para Consumo Conjunto";"Art. 33, § 3º,  Lei Federal nº 11.343/06.";22;64
"Estado";2020;9740;"Supressão ou Alteração de Marca, Numeração ou Sinal de identificação de Arma de Fogo ou Artefato ";"Art. 16, inc. I, Lei Federal nº 10.826/03.";22;13
"Estado";2020;8355;"Homicídio Qualificado";"Art. 121, § 2º, CP.";21;43
"Estado";2020;8593;"Associação para a Produção e Tráfico e Condutas Afins";"Art. 35, Lei Federal nº 11.343/06.";21;21
"Estado";2020;9607;"Infração de Medida Sanitária Preventiva";"Art. 268, CP.";21;53
"Estado";2020;9609;"Outras Substâncias Nocivas a Saúde Pública";"Art. 278, CP.";21;2
"Estado";2020;9717;"Crimes de Lavagem ou Ocultação de Bens, Direitos ou Valores";"Art. 1º, Lei Federal nº 9.613/98.";21;82
"Estado";2020;8722;"Análogo ao Crime Tentado *C";"Art. 14, II, CP.";20;2049,5
"Estado";2020;9496;"Furto Privilegiado";"Art. 155,§, 2º, CP.";19;28
"Estado";2020;9544;"Corrupção de Menores";"Art. 218, CP.";19;22
"Estado";2020;9658;"Corrupção passiva";"Art. 317, CP.";18;496
"Estado";2020;9770;"Aliciar, assediar, instigar ou constranger criança com fim de com ela praticar ato libidinoso";"Art. 241-D, Lei Federal nº 8069/90 (ECA).";18;101,5
"Estado";2020;11498;"Contra a Mulher";"CP, Art. 129, § 9º e 11.";17;31
"Estado";2020;6866;"Tortura Qualificada";"art. 1º, §3º, da Lei nº 9.455/97";17;4
"Estado";2020;8378;"Ameaça (art. 147)";"Art. 147, CP.";17;76
"Estado";2020;8396;"Extorsão (art. 158)";"Art. 158, CP.";17;42
"Estado";2020;9887;"Desobediência a decisão judicial sobre perda ou suspensão de direitos";"Art. 359, CP.";17;524
"Estado";2020;9940;"Crime / Contravenção contra Idoso ";"Art. 61, inc. II, ""h"", CP e 1º, Lei Federal nº 10.741/.";17;13
"Estado";2020;8845;"Alimentos";"Art. 7º, inc. IX, Lei Federal nº 8137/90.";16;31,5
"Estado";2020;9017;"Inscrição Fraudulenta";"Art. 289, Lei Federal nº 4737/65 (Código Eleitoral).";16;1163
"Estado";2020;9557;"Favorecimento da prostituição ou outra forma de exploração sexual de vulnerável";"Art. 218-B, CP.";16;69,5
"Estado";2020;6744;"Medidas Protetivas";"Art. 18, da Lei Fedral nº 11.340/06 e 45 do Estatuto do Idoso.";15;11
