"UF";"Município";"(A)";"(P)";"% de P/A";"(R)";"% de R/A";"Data início";"Data fim";"Data fim prorrogada";
"AC";"Bujari";"6.578";"0";"0,00%";"4.700";"71,45%";"15/12/2009";"28/01/2010";"12/02/2010"
"AL";"São Miguel dos Milagres";"5.656";"0";"0,00%";"4.537";"80,22%";"09/11/2009";"11/02/2010";""
"AL";"Coité do Nóia";"8.298";"0";"0,00%";"6.010";"72,43%";"09/11/2009";"11/02/2010";""
"AL";"Jaramataia";"4.576";"0";"0,00%";"3.466";"75,74%";"15/12/2009";"10/03/2010";""
"AL";"Barra de Santo Antônio";"9.098";"0";"0,00%";"6.814";"74,90%";"15/12/2009";"10/03/2010";""
"AL";"Poço das Trincheiras";"9.629";"0";"0,00%";"6.615";"68,70%";"15/12/2009";"10/03/2010";""
"AL";"Branquinha";"7.743";"0";"0,00%";"5.290";"68,32%";"09/11/2009";"03/02/2010";""
"AL";"Rio Largo";"47.876";"0";"0,00%";"34.926";"72,95%";"01/12/2009";"17/03/2010";"19/03/2010"
"AL";"Maribondo";"11.097";"0";"0,00%";"8.237";"74,23%";"09/11/2009";"03/02/2010";""
"AL";"Quebrangulo";"8.862";"0";"0,00%";"7.226";"81,54%";"09/11/2009";"11/02/2010";""
"AL";"Igaci";"20.005";"0";"0,00%";"13.794";"68,95%";"09/11/2009";"11/02/2010";""
"AL";"Chã Preta";"5.686";"0";"0,00%";"4.534";"79,74%";"15/12/2009";"10/03/2010";""
"AP";"Ferreira Gomes";"3.893";"0";"0,00%";"3.167";"81,35%";"12/11/2009";"19/03/2010";""
"BA";"Pojuca";"21.626";"0";"0,00%";"19.642";"90,83%";"04/11/2009";"03/12/2009";"17/12/2009"
"CE";"Eusébio";"30.231";"0";"0,00%";"21.466";"71,01%";"09/11/2009";"18/12/2009";""
"ES";"Viana";"41.343";"0";"0,00%";"29.362";"71,02%";"16/11/2009";"22/01/2010";"29/01/2010"
"ES";"Castelo";"27.849";"0";"0,00%";"23.169";"83,20%";"16/11/2009";"22/01/2010";"29/01/2010"
"GO";"Hidrolândia";"13.019";"0";"0,00%";"9.796";"75,24%";"07/11/2009";"07/12/2009";""
"MA";"Paço do Lumiar";"49.379";"0";"0,00%";"30.055";"60,87%";"30/11/2009";"18/01/2010";"27/02/2010"
"MA";"Raposa";"16.298";"0";"0,00%";"10.742";"65,91%";"17/11/2009";"16/12/2009";"23/01/2010"
"MG";"Pará de Minas";"56.554";"0";"0,00%";"49.589";"87,68%";"16/11/2009";"26/02/2010";""
"MG";"São João Del Rei";"64.565";"0";"0,00%";"56.487";"87,49%";"16/11/2009";"26/02/2010";""
"MG";"Curvelo";"51.805";"0";"0,00%";"43.971";"84,88%";"16/11/2009";"26/02/2010";""
"MG";"Ponte Nova";"43.571";"0";"0,00%";"36.617";"84,04%";"16/11/2009";"26/02/2010";""
"PA";"Capanema";"44.358";"0";"0,00%";"36.617";"82,55%";"15/12/2009";"25/01/2010";""
"PB";"Cabedelo";"37.820";"0";"0,00%";"25.304";"66,91%";"09/11/2009";"18/12/2009";"19/12/2009"
"PE";"Ilha de Itamaracá";"14.643";"0";"0,00%";"9.700";"66,24%";"20/11/2009";"19/12/2009";""
"PE";"Itapissuma";"16.416";"0";"0,00%";"11.644";"70,93%";"20/11/2009";"19/12/2009";""
"PE";"Rio Formoso";"17.077";"0";"0,00%";"11.649";"68,21%";"01/12/2009";"19/03/2010";""
"PE";"Tamandaré";"14.553";"0";"0,00%";"10.754";"73,90%";"01/12/2009";"19/03/2010";""
"PI";"Piracuruca";"19.739";"0";"0,00%";"15.749";"79,79%";"09/11/2009";"08/12/2009";""
"PR";"Balsa Nova";"9.161";"0";"0,00%";"7.465";"81,49%";"09/11/2009";"30/01/2010";""
"RJ";"Armação dos Búzios";"18.438";"0";"0,00%";"15.686";"85,07%";"15/06/2009";"14/07/2009";""
"RN";"Pedro Avelino";"5.274";"0";"0,00%";"4.718";"89,46%";"14/12/2009";"23/01/2010";""
"RN";"Alexandria";"9.830";"0";"0,00%";"8.416";"85,62%";"01/12/2009";"09/01/2010";"16/01/2010"
"RN";"Pilões";"3.150";"0";"0,00%";"2.645";"83,97%";"01/12/2009";"09/01/2010";"16/01/2010"
"RN";"Caraúbas";"15.161";"0";"0,00%";"12.622";"83,25%";"01/12/2009";"09/01/2010";""
"RN";"Macau";"19.552";"0";"0,00%";"17.009";"86,99%";"01/12/2009";"09/01/2010";"28/01/2010"
"RN";"Guamaré";"9.948";"0";"0,00%";"8.773";"88,19%";"01/12/2009";"09/01/2010";"28/01/2010"
"RN";"João Dias";"2.309";"0";"0,00%";"2.046";"88,61%";"01/12/2009";"09/01/2010";""
"RS";"Canoas";"237.133";"0";"0,00%";"189.543";"79,93%";"03/11/2009";"19/03/2010";""
"SE";"Barra dos Coqueiros";"15.917";"0";"0,00%";"10.207";"64,13%";"23/11/2009";"06/01/2010";"21/01/2010"
"SP";"Nuporanga";"5.504";"0";"0,00%";"4.585";"83,30%";"01/12/2009";"19/03/2010";""
"TO";"Figueirópolis";"3.666";"0";"0,00%";"2.999";"81,81%";"16/11/2009";"19/03/2010";""
"TO";"Talismã";"2.067";"0";"0,00%";"1.307";"63,23%";"16/11/2009";"19/03/2010";""
"TO";"Rio Sono";"3.995";"0";"0,00%";"3.113";"77,92%";"09/11/2009";"19/03/2010";""
"TO";"Alvorada";"6.239";"0";"0,00%";"4.635";"74,29%";"16/11/2009";"19/03/2010";""
