UF,Município,IFGF,Autonomia,Gastos com Pessoal,Liquidez ,Investimentos
AC,Rio Branco,0.845,0.8956,0.9188,1,0.5655
MG,Lagoa Santa,0.8443,1,0.5339,0.9168,0.9267
SP,Caraguatatuba,0.8443,0.8762,1,1,0.5009
SC,Itá,0.8435,1,1,0.8876,0.4865
RS,Nova Alvorada,0.8427,1,1,0.5957,0.7752
RS,Protásio Alves,0.8423,0.4982,1,0.8709,1
SC,São Ludgero,0.8419,1,0.6273,0.7403,1
SC,Marema,0.8418,0.8038,0.8766,0.9056,0.781
RS,Nova Candelária,0.8416,1,1,0.5446,0.8218
RS,Ibiaçá,0.8415,1,0.9483,0.5719,0.8456
PR,Palmas,0.8413,0.8981,1,0.6915,0.7757
PR,Cafelândia,0.8412,1,0.6842,0.8548,0.8256
PR,Alvorada do Sul,0.8411,0.8832,0.9161,0.565,1
RS,Ciríaco,0.8405,0.7511,1,1,0.6108
SP,Jandira,0.8381,1,1,0.842,0.5103
GO,Quirinópolis,0.8379,1,0.7866,0.7515,0.8135
MT,Água Boa,0.8374,1,0.6148,1,0.7349
MG,Rio Doce,0.837,0.8776,1,0.4704,1
RS,Boa Vista do Incra,0.837,0.8241,0.8852,0.6385,1
MT,Tesouro,0.8369,0.3476,1,1,1
SC,Catanduvas,0.836,1,0.5425,0.9341,0.8674
MG,Pouso Alegre,0.8359,1,1,1,0.3437
SP,São Sebastião,0.8359,1,1,1,0.3437
RS,Pejuçara,0.8358,1,0.8054,0.7282,0.8095
MG,Sapucaí-Mirim,0.8351,0.7777,0.6826,0.9587,0.9213
MT,Matupá,0.835,0.8625,0.7439,0.7335,1
RS,Travesseiro,0.8343,0.8662,1,0.8252,0.6457
SC,Princesa,0.834,0.6788,0.8852,0.9202,0.8519
MG,Nazareno,0.8335,1,1,1,0.3342
PR,Candói,0.8324,1,0.7764,1,0.5533
PR,Vitorino,0.8324,1,0.6102,0.7194,1
SC,Abdon Batista,0.832,0.8633,0.9077,0.5569,1
RS,Tenente Portela,0.8317,0.6337,1,1,0.6929
MG,Guarda-Mor,0.8312,1,0.5626,0.8534,0.9087
RS,Marques de Souza,0.8311,0.659,1,0.6655,1
SC,São José do Cerrito,0.8307,0.5639,1,1,0.7591
PR,Terra Roxa,0.8301,1,0.9672,0.5956,0.7577
SP,Osvaldo Cruz,0.8293,1,1,0.7144,0.6028
RS,Maçambará,0.8285,1,0.7404,1,0.5735
SP,Clementina,0.8284,1,1,0.5522,0.7614
RS,Paraí,0.8282,1,1,1,0.3129
GO,Ouvidor,0.8275,1,1,1,0.3102
BA,Candeias,0.827,1,1,1,0.3081
SC,Rancho Queimado,0.825,0.5815,0.8315,1,0.887
PR,Marmeleiro,0.825,0.9585,0.9268,0.7161,0.6984
BA,Barrocas,0.8247,0.4221,1,0.8908,0.986
RS,Nova Roma do Sul,0.8243,1,1,0.8095,0.4877
BA,Feira de Santana,0.8243,1,1,0.9778,0.3193
PR,Catanduvas,0.8237,0.8882,0.5768,1,0.8299
TO,Lajeado,0.8236,1,1,0.5638,0.7304
SC,Taió,0.823,0.9597,0.9231,1,0.4093
PI,Uruçuí,0.8226,1,0.846,0.7886,0.6559
MT,Itanhangá,0.8226,0.7226,0.8906,0.7282,0.9489
RS,Boa Vista do Buricá,0.8226,1,0.8894,0.6834,0.7176
SP,Olímpia,0.8224,1,0.9902,0.6124,0.6871
SP,São José do Rio Preto,0.8224,1,1,0.7719,0.5178
PR,São João,0.8215,1,0.7069,0.579,1
SP,Tambaú,0.8205,1,1,1,0.2821
PR,Marilândia do Sul,0.8205,0.9407,0.7888,0.6121,0.9404
RS,Canudos do Vale,0.8201,0.2803,1,1,1
RS,Harmonia,0.8186,0.7974,1,0.7497,0.7271
SC,São João Batista,0.8182,1,0.5382,1,0.7347
RS,Não-Me-Toque,0.8178,1,1,0.7739,0.4972
RS,Imbé,0.8175,0.9361,0.8765,0.5372,0.9202
MG,Cambuí,0.8175,0.9995,0.5571,1,0.7132
SP,Pirangi,0.8167,1,0.9152,0.7061,0.6455
SC,Doutor Pedrinho,0.8164,0.6615,0.7337,1,0.8704
MT,Novo São Joaquim,0.8158,0.7731,0.9166,0.7585,0.815
MG,Serra do Salitre,0.8157,1,0.8717,1,0.3911
PR,Entre Rios do Oeste,0.8155,0.5658,1,0.8147,0.8814
PR,Rio Azul,0.8154,0.9252,0.3364,1,1
RS,Garibaldi,0.8147,1,1,0.738,0.5208
SC,Timbó,0.8137,1,0.9151,0.835,0.5045
SC,Xavantina,0.8135,1,0.9759,0.6371,0.6409
PR,São Jorge d'Oeste,0.8121,1,0.6681,0.5805,1
SP,Itaberá,0.8116,1,0.7674,0.4789,1
RS,São José do Ouro,0.8113,0.6927,1,0.5523,1
SC,Videira,0.811,1,1,0.9615,0.2827
RS,Nova Pádua,0.8099,0.6011,1,0.6385,1
PA,Parauapebas,0.8097,0.8475,0.956,0.4352,1
PR,Bom Sucesso do Sul,0.8096,0.841,0.8354,0.5618,1
MG,Ouro Fino,0.8091,1,0.5965,0.6401,1
RS,Relvado,0.8088,0.6001,1,0.635,1
SC,Nova Itaberaba,0.8084,0.9994,0.5908,0.8466,0.7968
RS,Vespasiano Corrêa,0.8083,0.7937,1,0.8842,0.5554
RS,Lagoa Vermelha,0.8082,1,0.5945,1,0.6383
RS,Colinas,0.8078,1,0.9327,0.4951,0.8035
