UF,Município,IFGF,Autonomia,Gastos com Pessoal,Liquidez ,Investimentos
SP,Santópolis do Aguapeí,0.5957,0.152,0.5535,0.6772,1
RS,Nova Esperança do Sul,0.5955,0.2458,0.74,1,0.3962
RS,São Paulo das Missões,0.5953,0.7049,0.8818,0.51,0.2843
SC,Ipira,0.5951,0.7905,0.3832,0.6917,0.515
GO,Itapirapuã,0.5947,0.6883,0.4909,0.5332,0.6664
MT,Canabrava do Norte,0.5946,0.4776,0.7399,0.7369,0.4242
MG,Ritápolis,0.5945,0,0.4081,0.9752,0.9948
MG,Sabinópolis,0.5945,0.452,0.6376,1,0.2884
RS,Eldorado do Sul,0.5944,0.7976,0.6504,0.6748,0.2549
SC,Florianópolis,0.5943,1,0.4056,0.4556,0.5161
RS,Charrua,0.5943,0.5553,0.2393,0.5826,1
PR,Santa Mônica,0.594,0.3701,0.3374,1,0.6685
BA,Seabra,0.594,0.2347,1,1,0.1412
MT,Diamantino,0.594,1,0.4806,0.5594,0.3359
RS,Mariana Pimentel,0.5939,0,0.6876,1,0.6878
PI,Ipiranga do Piauí,0.5936,0,0.6129,0.7613,1
SC,Brunópolis,0.5935,0.6128,0.659,0.8973,0.2047
SP,Guaimbê,0.5934,0.3846,1,0.5617,0.4274
BA,Novo Horizonte,0.5933,0.0037,0.3848,0.9848,1
TO,São Bento do Tocantins,0.5933,0,0.7414,0.6503,0.9815
RJ,Nova Friburgo,0.5932,0.8419,0.4199,0.9203,0.1906
GO,Petrolina de Goiás,0.5929,0.2994,0.4714,1,0.6008
SC,Rio do Campo,0.5924,0.5747,0.4948,0.656,0.6442
SP,Pedra Bela,0.5923,0.5739,0.6296,0.4518,0.714
MT,Nova Santa Helena,0.5919,0,0.5096,1,0.8581
SP,Suzanápolis,0.5919,1,0.4912,0.5363,0.34
MS,Corguinho,0.5918,0.6753,0.2661,0.7689,0.6571
RS,São Pedro do Sul,0.5918,0.8396,0.3413,0.6451,0.5412
SC,Correia Pinto,0.5918,0.997,0.2827,0.5736,0.5137
MG,Martinho Campos,0.5917,0.7331,0.2683,0.7578,0.6078
SP,São Joaquim da Barra,0.5916,1,0.689,0.5122,0.1652
MG,Divinópolis,0.5915,1,0.5527,0.7248,0.0884
SP,Iacri,0.5914,0.779,0.4366,0.636,0.5141
MS,Ponta Porã,0.5913,0.7052,0.3325,1,0.3276
MG,Raposos,0.5913,0.3986,0.3037,0.938,0.7249
MG,Sarzedo,0.5912,0.8289,0.22,1,0.316
SC,Irineópolis,0.5912,0.6213,0.7465,0.51,0.4868
RS,Mato Leitão,0.5912,0.5103,0.9402,0.5976,0.3165
SP,Salto de Pirapora,0.5909,1,0.5891,0.5233,0.2513
TO,Porto Nacional,0.5907,0.5638,0.3649,1,0.4341
MG,Comendador Gomes,0.5907,0,0.6382,1,0.7246
MT,Vila Bela da Santíssima Trindade,0.5907,1,0.7609,0.4816,0.1202
PR,Santo Antônio da Platina,0.5906,0.9709,0.4676,0.5351,0.3887
SP,Piquete,0.5905,0.5479,0.7057,0.6115,0.4969
RS,Liberato Salzano,0.5905,0.3774,0.5271,1,0.4576
GO,Vianópolis,0.5905,0.8686,0.3003,0.5685,0.6247
RS,Riozinho,0.5905,0.2377,0.767,1,0.3573
CE,Irauçuba,0.5904,0.0417,0.5068,1,0.8131
MG,Lagoa Dourada,0.5903,0.5123,0.3843,0.5593,0.9054
TO,Chapada de Areia,0.5903,0,0.9704,0.8121,0.5788
RN,Serrinha dos Pintos,0.5903,0,0.8934,0.4678,1
MA,Santo Antônio dos Lopes,0.5902,0.9825,0.3784,0,1
PR,Sertaneja,0.5898,0.7077,0.249,0.5945,0.8082
ES,Guaçuí,0.5897,0.5821,0.5013,1,0.2753
RS,Aceguá,0.5896,0.9694,0.3593,0.8413,0.1883
PR,Cruzeiro do Sul,0.5896,0.4921,0.5511,1,0.3151
MG,São Tiago,0.5895,0.2784,0.2523,0.8274,1
SC,Pedras Grandes,0.5895,0.5099,0.5005,0.7059,0.6417
TO,Pium,0.5894,0.7415,0.1233,1,0.4927
PR,São Miguel do Iguaçu,0.5893,0.4941,0.6158,0.6686,0.5787
PE,Olinda,0.5893,1,0.4939,0.5875,0.2758
SP,Guarulhos,0.5891,1,0.6515,0.5098,0.1953
PE,Granito,0.5891,0.2716,0.723,0.4478,0.9138
RS,Lagoa dos Três Cantos,0.5891,0.5532,0.5552,0.58,0.6678
MT,Vila Rica,0.589,0.8042,0,1,0.5517
RS,Caibaté,0.589,0.2908,0.5681,1,0.497
PR,Tamarana,0.5889,0.7829,0.3191,0.8089,0.4446
SP,Taboão da Serra,0.5886,1,0.6774,0.4231,0.2539
RJ,Itatiaia,0.5885,1,0.6017,0.6795,0.0729
BA,Ipupiara,0.5885,0.0566,1,0.4365,0.861
RS,Paverama,0.5884,0.8156,0.8423,0.4435,0.2521
GO,Cachoeira Dourada,0.5884,1,0,0.8312,0.5222
SP,Guaraci,0.5881,1,0.5624,0.5478,0.2421
RS,Xangri-lá,0.588,1,0.3861,0.7206,0.2453
PR,Cornélio Procópio,0.5878,0.957,0.6602,0.4459,0.2881
SP,Pilar do Sul,0.5878,0.8204,0.4995,0.6641,0.3674
SP,Urupês,0.5878,0.9148,0.6404,0.4578,0.3382
MG,Bom Jesus da Penha,0.5875,0.4394,0.642,1,0.2685
MT,Nova Maringá,0.5875,0.7027,0.4765,0.6228,0.5479
MG,Três Pontas,0.5875,1,0.4294,0.7723,0.1481
MS,Jardim,0.5872,0.5843,0.4691,1,0.2953
RS,Rio Grande,0.5872,1,0.5742,0.6036,0.1709
RS,São Vicente do Sul,0.5871,0.6099,0.497,1,0.2414
BA,Vitória da Conquista,0.5871,1,0.5622,0.5261,0.2599
PI,São Luis do Piauí,0.5869,0,1,0.4016,0.946
SC,Navegantes,0.5869,1,0.5004,0.67,0.1772
TO,Palmeirópolis,0.5868,0.0838,0.5161,0.7473,1
SP,Arujá,0.5867,1,0.6295,0.6569,0.0605
MG,Paraguaçu,0.5867,0.739,0.4178,1,0.19
RJ,Pinheiral,0.5866,0.5431,0.5781,1,0.2253
SP,Guzolândia,0.5865,0.4279,0.1594,0.9177,0.841
RS,Tupanciretã,0.5865,1,0.6116,0.5043,0.2298
MG,Barra Longa,0.5864,0.5252,0.9094,0.6104,0.3006
SP,Mauá,0.5863,1,1,0,0.3452
SP,Lavrinhas,0.5862,0.7876,0.5998,0.5367,0.4208
GO,Mundo Novo,0.586,0.2097,0.726,0.4084,1
MG,Oratórios,0.5858,0.1317,0.6918,0.7265,0.7933
GO,Santa Fé de Goiás,0.5856,0.8215,0.2645,0.4601,0.7963
SP,Neves Paulista,0.5855,0.8729,0.9427,0,0.5263
BA,Formosa do Rio Preto,0.5855,1,0.46,0.5825,0.2996
PR,Santa Cecília do Pavão,0.5854,0.1412,0.7886,0.6874,0.7245
SP,Sertãozinho,0.5854,1,0.5895,0.5743,0.1778
MT,Sinop,0.5851,1,0.437,0.5261,0.3775
RS,Soledade,0.585,0.768,1,0.4142,0.158
RO,Jaru,0.5849,0.4899,0.683,0.8006,0.366
PB,Brejo do Cruz,0.5846,0,0.4831,1,0.8553
RJ,São Gonçalo,0.5845,0.9914,0.4786,0.741,0.1268
SC,Xanxerê,0.584,1,0.4427,0.4723,0.4208
MG,Manhuaçu,0.5839,1,0.1693,0.5182,0.6482
SC,Piratuba,0.5839,1,0.4309,0.7166,0.188
MA,Estreito,0.5837,0.5074,0.3047,0.6799,0.8426
MG,Campos Altos,0.5833,0.8022,0.6791,0.5024,0.3496
MG,Coimbra,0.5833,0.3644,0.3855,1,0.5833
RO,Vilhena,0.5833,0.9011,0.3998,0.6271,0.405
SP,Sales,0.5833,1,1,0,0.333
CE,Lavras da Mangabeira,0.583,0,0.5781,0.7537,1
PR,Leópolis,0.5829,0.4166,0.12,0.7948,1
PR,São Jerônimo da Serra,0.5828,0.6881,0.2058,1,0.4375
RS,Jacutinga,0.5828,0.5335,0.9925,0.5184,0.2866
PR,Indianópolis,0.5828,0.6223,0.2911,0.6998,0.7178
AP,Pedra Branca do Amapari,0.5825,0.5967,1,0.4709,0.2625
SC,Camboriú,0.5824,0.9099,0.0815,1,0.3383
PR,Guarapuava,0.5824,1,0.285,0.5187,0.5258
PI,São Gonçalo do Piauí,0.5824,0,0.9843,1,0.3451
SP,Paraguaçu Paulista,0.5822,0.9428,1,0,0.386
GO,Montividiu,0.5819,1,0.3726,0.6456,0.3094
GO,Silvânia,0.5818,0.7437,0.0731,0.9523,0.5582
ES,Presidente Kennedy,0.5818,0,1,1,0.3272
RJ,Paty do Alferes,0.5818,0.4113,1,0.6079,0.308
SC,Santa Helena,0.5817,0.5621,0.5009,0.7955,0.4684
TO,Taipas do Tocantins,0.5817,0,0.6188,0.7732,0.9349
BA,Itanagra,0.5815,0,0.3261,1,1
RS,Coqueiros do Sul,0.5814,0.6058,0.7921,0.5154,0.4122
SC,Penha,0.5813,1,0.327,0.6449,0.3533
RO,Alvorada D'Oeste,0.5813,0.5041,0.4905,0.6754,0.6551
MG,Espírito Santo do Dourado,0.5812,0.5171,0.6174,0.6129,0.5775
PA,Jacareacanga,0.5812,0.3373,0.0334,1,0.9541
RS,Osório,0.5811,0.7233,0.84,0.6015,0.1595
SC,Palhoça,0.581,1,0.4139,0.6356,0.2745
SC,São Pedro de Alcântara,0.5809,0.4905,0.7606,0.9649,0.1076
RS,Marau,0.5805,1,0.6068,0.4509,0.2645
SC,Riqueza,0.5805,0.6247,0.5024,0.6867,0.5083
RS,Cambará do Sul,0.58,0,0.6818,1,0.638
AL,Pilar,0.5799,0.7906,0.2841,0.9259,0.3192
PR,Uraí,0.5798,0.7711,0.3912,0.711,0.4457
CE,Morada Nova,0.5798,0,1,1,0.319
MT,Luciara,0.5796,0,1,0.9793,0.339
MT,Carlinda,0.5796,0.513,0.3473,0.7365,0.7214
RS,Alegria,0.5795,0.5802,0.582,0.7186,0.4372
BA,Barra do Rocha,0.5795,0,0.559,0.7589,1
GO,São João da Paraúna,0.5794,0.0628,0.9469,0.5409,0.7669
SP,Marapoama,0.5793,0.6789,0.6073,0.4953,0.5357
TO,Dois Irmãos do Tocantins,0.5792,0.1414,0.8391,1,0.3364
PR,Itaipulândia,0.579,0.0509,1,1,0.2652
SP,Mombuca,0.5785,0.3071,0.8666,0.5922,0.548
PR,Almirante Tamandaré,0.5785,0.7104,0.5018,0.5165,0.5851
PB,Bom Jesus,0.5784,0,0.6846,0.6292,1
RS,Capivari do Sul,0.5783,0.7112,0.3809,0.9135,0.3077
SP,Pindamonhangaba,0.5781,1,0.61,0.5086,0.1938
PR,Prado Ferreira,0.5781,0.1291,0.4464,0.8512,0.8856
CE,Limoeiro do Norte,0.5778,0.6406,0.7253,0.5657,0.3795
SP,Promissão,0.5777,1,0.52,0.5178,0.273
MG,Bom Jesus do Amparo,0.5776,0.6319,0.3816,0.6227,0.674
RS,Faxinalzinho,0.5775,0.2614,0.8869,0.5058,0.6558
SP,Boa Esperança do Sul,0.5774,0.9208,0.4908,0.5159,0.3822
RS,Montenegro,0.5774,1,0.4986,0.6592,0.1517
PR,Quarto Centenário,0.5773,0.6927,0.3865,0.5281,0.7018
MG,Toledo,0.5772,0.1748,0.4503,0.6835,1
TO,Natividade,0.5771,0.5638,0.6389,0.8033,0.3025
SC,Matos Costa,0.577,0.2503,0.4544,0.8599,0.7435
MG,Itamarandiba,0.577,0.6522,0.285,1,0.3707
BA,Correntina,0.577,1,0.2156,0.7429,0.3493
RS,Palmeira das Missões,0.5768,0.873,0.2442,1,0.1901
RN,Macaíba,0.5766,0.549,0.3581,1,0.3995
RS,Capela de Santana,0.5766,0.4221,1,0.503,0.3813
SP,Caconde,0.5766,0.8456,0.6001,0.4037,0.457
MG,Jacuí,0.5763,0.6527,0.2705,0.5195,0.8627
PR,Guaíra,0.5763,0.3921,0.7367,0.5463,0.63
RS,Fagundes Varela,0.5762,0.6417,0.6684,0.636,0.3588
SC,Garuva,0.5762,0.8683,0.3745,0.6614,0.4007
SC,São Martinho,0.5761,0.43,0.3203,0.6196,0.9347
MG,Espera Feliz,0.5756,0.4575,0.4212,1,0.4236
SP,Dobrada,0.5756,0.4062,0.6403,1,0.2558
SP,Rubinéia,0.5754,0.4047,0.4761,0.5266,0.8941
MT,Colíder,0.5753,0.9901,0.5321,0.5529,0.2262
MG,Romaria,0.5753,0.2561,0.8888,0.7445,0.4116
RS,Quinze de Novembro,0.5752,0.8576,0.6677,0.483,0.2926
PB,Gurjão,0.5751,0,0.3124,0.9881,1
MS,Bandeirantes,0.575,0.8111,0.3866,0.6242,0.478
SP,Caiuá,0.5749,0.7475,0.6597,0.4599,0.4323
MS,Vicentina,0.5748,0.1217,0.4207,1,0.7571
SC,Major Gercino,0.5748,0.2185,0.4935,0.989,0.5982
GO,Nova Crixás,0.5747,0.9957,0.0829,1,0.2203
RJ,Casimiro de Abreu,0.5746,0.4397,0.7259,0.7706,0.3623
PR,Paranacity,0.5742,0.9087,0.2331,1,0.1551
PR,Iguatu,0.5741,0.0452,0.6208,0.6302,1
SC,Tubarão,0.574,1,0.4023,0.4649,0.4288
SP,Cajuru,0.5738,0.9186,0.5505,0.4771,0.349
MG,Dores de Guanhães,0.5737,0.7195,0.358,1,0.2174
BA,Caculé,0.5737,0.1747,0.6073,0.8073,0.7057
PR,Itaperuçu,0.5735,0.5468,0.6024,0.5284,0.6165
RO,Ariquemes,0.573,0.8431,0.2077,0.5635,0.6778
MG,Bandeira,0.5727,0,0.291,1,1
MG,Divinolândia de Minas,0.5727,0.3251,0.2122,1,0.7535
BA,Jaborandi,0.5726,1,0.8768,0,0.4138
RS,Pelotas,0.5726,1,0.5838,0.4424,0.2643
MG,Prata,0.5726,1,0.5496,0.4872,0.2537
RJ,Cantagalo,0.5725,1,0.5004,0.5912,0.1985
MG,Capinópolis,0.5725,1,0.3013,0.6782,0.3107
RS,Campinas do Sul,0.5724,0.641,0.4306,0.7948,0.4233
PR,Flórida,0.5723,0.1408,0.4371,0.7115,1
SP,Guaíra,0.5722,1,0.62,0.4825,0.1863
SP,Queiroz,0.5721,1,0.3272,0,0.9612
SP,São Caetano do Sul,0.572,1,0.4648,0.6253,0.1981
PA,Bannach,0.5719,0.0333,0.8309,0.4235,1
RO,São Francisco do Guaporé,0.5718,0.342,1,0.6008,0.3445
SP,Planalto,0.5718,1,0.4088,0.4682,0.41
BA,Catu,0.5716,0.7483,0.4872,0.5102,0.5409
RJ,Rio Claro,0.5715,1,0.1957,1,0.0903
MS,São Gabriel do Oeste,0.5714,1,0.0819,0.6995,0.5044
SP,Piedade,0.5711,0.4472,1,0.5742,0.2631
MS,Anastácio,0.571,0.1796,0.5005,0.9531,0.6507
RS,Mampituba,0.5708,0,0.8134,1,0.4698
RS,Mato Queimado,0.5707,0.0465,1,0.6304,0.6058
AL,Messias,0.5706,0,1,0.9999,0.2826
SP,Taiúva,0.5704,0.4318,0.5905,0.4952,0.7639
SP,Vargem Grande Paulista,0.5703,1,0.2603,0.8703,0.1504
PI,João Costa,0.5702,0,0.4604,0.8205,1
SP,Pedro de Toledo,0.5702,0.6784,0.5228,0.6645,0.4151
ES,Sooretama,0.5702,0.2588,0.3908,0.7986,0.8325
SP,São Luís do Paraitinga,0.5702,0.6398,0.4117,0.635,0.5942
PR,São Pedro do Iguaçu,0.5701,0.8923,0.1427,0.6928,0.5526
RS,Porto Xavier,0.5701,0.6263,0.7383,0.5506,0.365
GO,Trindade,0.5699,0.6195,0.3194,0.9718,0.3691
GO,Acreúna,0.5699,0.9116,0,1,0.3679
SP,Tapiraí,0.5698,0.4776,0.5013,0.7613,0.5391
SP,Iracemápolis,0.5698,1,0.5367,0,0.7425
RN,Ceará-Mirim,0.5697,0.3457,0.5087,0.8408,0.5836
MG,Frei Inocêncio,0.5696,0.1665,0.9729,0.5623,0.5768
PR,Itambaracá,0.5696,0.3723,0.5234,0.7348,0.6478
BA,Oliveira dos Brejinhos,0.5693,0.0937,1,1,0.1834
PR,Araucária,0.5691,1,0.543,0.5268,0.2064
PI,Belém do Piauí,0.569,0,0.6825,0.5934,1
PR,Pitanga,0.5688,1,0.2231,0.5259,0.5261
SC,Braço do Trombudo,0.5687,0.7294,0.4622,0.5989,0.4841
MG,Juatuba,0.5686,1,0.0964,0.6382,0.5399
MG,Itamonte,0.5686,0.8515,0.8139,0,0.609
SC,Nova Trento,0.5685,0.9118,0.5142,0.5938,0.2544
GO,Goiandira,0.5685,0.4392,0.4334,1,0.4014
RS,Mostardas,0.5685,0.8963,0.1968,1,0.1808
SP,Santa Bárbara d'Oeste,0.5684,1,0.4511,0,0.8225
MG,Coronel Fabriciano,0.5681,0.2076,0.7024,1,0.3624
CE,Pacujá,0.568,0,0.936,0.9058,0.4301
MS,Juti,0.5679,0.2962,0.7881,0.488,0.6992
RJ,Barra Mansa,0.5679,0.6636,0.9648,0.5169,0.1262
SP,Ilha Comprida,0.5678,0.4364,0.793,0.4071,0.6347
RS,Barros Cassal,0.5678,0.4428,0.3557,1,0.4727
PE,Paulista,0.5677,1,0.5629,0.515,0.1927
PI,Angical do Piauí,0.5677,0,1,1,0.2706
PR,Arapongas,0.5676,1,0.37,0.5385,0.362
ES,Conceição da Barra,0.5676,0.2792,0.5649,1,0.4263
MG,Sabará,0.5675,0.6006,0.3848,1,0.2848
SP,Brejo Alegre,0.5675,1,0.2245,0.6221,0.4234
SC,Vargem,0.5673,0.2881,0.4476,0.6198,0.9136
SC,São Miguel da Boa Vista,0.5671,0.2985,0.3369,0.8518,0.7812
PR,Jataizinho,0.567,0.8298,0.4004,0.6343,0.4033
PE,Joaquim Nabuco,0.5669,0,0.6176,1,0.6499
CE,Solonópole,0.5668,0,0.2671,1,1
RN,Guamaré,0.5667,1,1,0,0.2666
TO,Aguiarnópolis,0.5666,0.4056,0.6877,0.4507,0.7223
PB,Conde,0.5665,0.5482,0.5041,1,0.2138
MG,Iguatama,0.5665,0.8318,0.5206,0.6582,0.2556
TO,Tocantinópolis,0.5665,0.4722,0.2707,0.5727,0.9503
BA,Morro do Chapéu,0.5665,0.4131,0.5221,0.7851,0.5457
BA,Ibicoara,0.5665,0.2144,0.8199,1,0.2315
TO,Lavandeira,0.5663,0,0.928,0.5412,0.7959
SP,Itapira,0.566,1,0.6686,0.424,0.1713
CE,Acopiara,0.5659,0.1034,0.6519,1,0.5085
RS,Capão da Canoa,0.5658,1,0.3639,0.6127,0.2866
SP,Corumbataí,0.5657,1,0.5455,0.4795,0.238
RS,Três Coroas,0.5654,0.582,0.8442,0.4953,0.3403
RO,Vale do Paraíso,0.5654,0.0463,0.545,0.9422,0.7282
PI,Ribeiro Gonçalves,0.5654,0.4902,0.968,0.4809,0.3225
PB,Poço Dantas,0.5654,0,0.6596,1,0.6019
PR,Salto do Itararé,0.5653,0,0.7307,0.5305,1
SP,Paranapanema,0.5653,0.9027,0.1538,0.644,0.5605
PB,São José do Bonfim,0.565,0,1,0.6178,0.6424
PR,São José das Palmeiras,0.565,0.4579,0.5375,0.4967,0.768
CE,Horizonte,0.5648,0.7496,0.1998,1,0.3098
RJ,Barra do Piraí,0.5645,0.1785,1,1,0.0795
SP,Monteiro Lobato,0.5645,0.4113,0.8266,0.6283,0.3916
SP,Fernandópolis,0.5643,0.8449,0.5415,0.5467,0.3241
SP,Igaraçu do Tietê,0.5643,0.3749,0.7613,0.6645,0.4564
PI,Miguel Leão,0.5643,0,0.7316,0.9127,0.6129
MG,Bom Jardim de Minas,0.5642,0.5783,0.6475,0.6475,0.3835
RS,Entre-Ijuís,0.5641,0.4616,0.346,0.9434,0.5053
RO,Castanheiras,0.564,0.1761,0.6043,1,0.4757
ES,Jaguaré,0.5636,0.9257,0.37,0.7438,0.215
CE,Chorozinho,0.5631,0,0.2523,1,1
SP,Lagoinha,0.563,0.3366,0.8349,0.811,0.2695
GO,Cachoeira de Goiás,0.563,0.0403,0.8828,0.9257,0.4032
PR,Ariranha do Ivaí,0.5629,0.2759,0.3857,0.5902,1
SP,Valentim Gentil,0.5629,0.6432,0.4943,0.4874,0.6267
BA,Macururé,0.5627,0,1,1,0.2506
GO,Abadia de Goiás,0.5626,0.4657,0.3099,1,0.4748
CE,Icapuí,0.5625,0.4739,0.2471,1,0.5292
RS,Vera Cruz,0.5625,0.9797,0.4171,0.5272,0.3261
PI,Campo Maior,0.5625,0.4793,0.6417,0.7466,0.3824
SP,Penápolis,0.5624,1,0.4517,0.4985,0.2993
TO,Sandolândia,0.5623,0,0.9461,0.5935,0.7097
SP,Estrela d'Oeste,0.5623,1,0.6466,0.4849,0.1174
SC,Anchieta,0.5621,0.8329,0.4481,0.6536,0.3139
SP,Tanabi,0.5621,1,0.3657,0.5356,0.3469
SP,Sebastianópolis do Sul,0.5618,1,1,0,0.2472
SC,Coronel Martins,0.5617,0.5187,0.8314,0.6224,0.2741
PE,Sertânia,0.5616,0.5689,0.361,0.4563,0.8604
GO,Indiara,0.5616,0.6123,0.0559,1,0.5783
SP,Viradouro,0.5616,0.635,0.6062,0.4631,0.542
SP,Angatuba,0.5615,1,0.5848,0.4741,0.1871
PI,Antônio Almeida,0.5615,0,0.7703,1,0.4757
PI,Lagoa do Piauí,0.5613,0,1,0.9246,0.3208
PR,Miraselva,0.5613,0,0.4426,0.8026,1
PR,Manoel Ribas,0.5613,0.7713,0.3122,0.4536,0.7081
RS,Júlio de Castilhos,0.5613,1,0.3756,0.6458,0.2236
PE,Jaboatão dos Guararapes,0.5613,1,0.3816,0.567,0.2964
SC,Vitor Meireles,0.5611,0.5101,0.7826,0.7128,0.2389
RN,Ouro Branco,0.561,0,0.5459,0.9709,0.727
GO,Novo Brasil,0.5609,0.2399,0.5492,0.7363,0.7181
PI,Prata do Piauí,0.5606,0,1,0.8442,0.398
SP,Cravinhos,0.5605,1,0.567,0.5144,0.1607
SP,Mirassol,0.5605,1,0.3795,0.6828,0.1797
ES,Santa Leopoldina,0.5604,0.2987,0.7175,1,0.2253
PR,Cambira,0.5602,0.4953,0.2056,0.7611,0.7789
SP,Estiva Gerbi,0.5601,1,0.3021,0.4784,0.4598
PR,Três Barras do Paraná,0.5599,1,0.1533,0.4689,0.6174
GO,Nova Aurora,0.5598,0.155,0.7215,0.831,0.5316
RS,Itaara,0.5598,0,0.8749,0.8248,0.5395
AL,Olivença,0.5595,0,0.7909,1,0.447
MG,São Vicente de Minas,0.5592,0.4428,0.4539,0.6354,0.7048
BA,Bonito,0.5592,0,0.2368,1,1
SC,Trombudo Central,0.5592,0.6095,0.4726,0.5897,0.5649
SP,Américo de Campos,0.559,0.7517,0.5604,0.5071,0.4168
SP,Santa Rita d'Oeste,0.5589,0.458,0.6219,0.8315,0.324
MS,Figueirão,0.5588,0.5095,0.3751,0.4278,0.9229
RS,Pinhal Grande,0.5587,0.4,0.8845,0.6695,0.2807
MS,Corumbá,0.5585,1,0.3552,0.52,0.3588
MS,Eldorado,0.5583,0.1523,0.3945,1,0.6865
PR,Santa Cruz de Monte Castelo,0.5583,0.7703,0,0.4628,1
SC,Apiúna,0.5582,1,0.4959,0.5351,0.2017
RS,Vila Nova do Sul,0.5581,0.63,0.3784,0.4223,0.8018
SP,Ibirá,0.5581,0.6379,0.4514,0.4599,0.6831
SP,Bariri,0.558,1,0.6266,0.5129,0.0925
MG,Francisco Sá,0.558,0.4371,0.473,1,0.3218
SC,Balneário Gaivota,0.5579,0.8624,0.4718,0.5324,0.3651
SP,Fernão,0.5578,0.1037,0.7582,0.7196,0.6496
SP,Dracena,0.5577,1,0.4677,0.4353,0.3279
MG,Natércia,0.5577,0.3757,0.3091,0.5461,1
SP,Divinolândia,0.5574,0.6268,0.74,0.4416,0.421
SC,Campos Novos,0.5573,1,0.2433,0.6216,0.3641
RS,Ibirapuitã,0.5569,0.4006,0.7744,0.4388,0.6137
SC,Chapadão do Lageado,0.5563,0.082,0.6103,0.8354,0.6975
GO,Formoso,0.5562,0.0317,0.5274,0.6658,1
TO,Peixe,0.5562,0.838,0.5292,0.4605,0.397
RS,Redentora,0.5561,0.422,0.9963,0.449,0.3573
PR,Ivaiporã,0.5561,0.5326,0.6158,0.4746,0.6015
SP,São Roque,0.5561,0.8531,0.5484,0.5991,0.2237
AM,Juruá,0.5557,0.3381,0.8567,0.5072,0.521
BA,Curaçá,0.5557,0,0.5786,0.9144,0.7299
SP,Tupi Paulista,0.5557,0.3757,0.6379,0.6855,0.5237
SP,Dumont,0.5557,0.7566,0.7387,0.5254,0.202
TO,Bernardo Sayão,0.5556,0,0.8101,0.7439,0.6684
PI,Lagoa do Barro do Piauí,0.5553,0.2059,0.7759,0.4566,0.7829
SP,Matão,0.5552,1,0.867,0,0.354
RS,Nova Hartz,0.5551,0.6155,0.4242,0.4927,0.6881
RS,Bossoroca,0.5549,0.8565,0.4963,0.6094,0.2573
AM,Codajás,0.5549,0,0.7263,0.8168,0.6764
MG,Machado,0.5548,0.8029,0.4423,0.5231,0.4508
MT,Cotriguaçu,0.5546,0.3021,0.4693,1,0.447
SC,Praia Grande,0.5546,0.7801,0.5175,0.4676,0.4532
PA,São Félix do Xingu,0.5543,0.2163,0.9383,0.4217,0.6408
RJ,Santo Antônio de Pádua,0.5536,0.5247,0.8209,0.6713,0.1975
MT,Nova Monte Verde,0.5536,0.7905,0.5537,0.4541,0.416
SP,Charqueada,0.5535,0.6609,0.697,0.5864,0.2696
RN,Lucrécia,0.5533,0,1,0.6212,0.5921
PR,Iracema do Oeste,0.5528,0,0.7607,0.4505,1
MG,Cachoeira Dourada,0.5527,0.9123,0,1,0.2986
CE,Caucaia,0.5527,0.4413,0.4812,0.9938,0.2945
MG,Lagoa Grande,0.5526,0.7857,0.2944,0.5698,0.5605
MG,São Pedro da União,0.5525,0.5247,0.4393,0.7809,0.4651
RS,Pedro Osório,0.5524,0.5898,0.5303,0.6866,0.4029
RS,Dom Pedrito,0.5524,1,0.3845,0.7502,0.0748
SC,Anitápolis,0.5521,0.4114,0.5908,1,0.2063
SC,Palmeira,0.5519,0.3336,0.5061,0.7267,0.6411
GO,Iporá,0.5517,0.6639,0.105,1,0.4378
MT,Terra Nova do Norte,0.5516,0.5921,0.4203,0.5673,0.6269
MG,São Romão,0.5514,0.274,0.2824,1,0.6492
SP,Bernardino de Campos,0.5514,0.8339,0.563,0.4167,0.392
SP,Lavínia,0.5514,0.81,0.702,0.4465,0.2471
SP,Morungaba,0.5513,0.6304,0.4921,0.4557,0.627
SP,Pirassununga,0.5512,1,1,0,0.2049
SP,Borá,0.5511,0.1218,1,0.8589,0.2237
PR,Rancho Alegre D'Oeste,0.5511,0.3004,0.4351,0.9163,0.5525
TO,Darcinópolis,0.551,0,0.4663,0.8136,0.9242
GO,Cristalina,0.551,0.6806,0.5003,0.8353,0.1877
PR,Boa Vista da Aparecida,0.5509,0.3503,0.3301,0.5258,0.9975
MS,Água Clara,0.5508,0.9483,0,1,0.255
MG,Bom Despacho,0.5508,0.8458,0.4294,0.7689,0.1591
MG,Andradas,0.5507,1,0.8169,0,0.386
PI,Vila Nova do Piauí,0.5507,0,0.7715,1,0.4314
RJ,Mendes,0.5506,0.7201,0.3461,0.8084,0.3278
MT,Campos de Júlio,0.5504,1,0.2571,0.5041,0.4404
CE,Aiuaba,0.5503,0,1,0.8039,0.3973
AL,Maceió,0.5501,0.6608,0.8438,0.6018,0.0941
CE,Icó,0.5501,0.0585,1,0.776,0.3657
RJ,Nova Iguaçu,0.55,0.8832,0.5547,0.4718,0.2904
BA,Guanambi,0.5497,0.6556,0.6365,0.5542,0.3524
PI,Cajueiro da Praia,0.5496,0,0.486,1,0.7125
RS,Tunas,0.5496,0,0.3283,1,0.8702
PI,Beneditinos,0.5496,0,0.9842,0.9212,0.2929
SP,Pontal,0.5491,1,0.4997,0.468,0.2288
