PARTIDO;ANO;VALOR;PROPORCAO
SOLIDARIEDADE;2009;NA;NA
SOLIDARIEDADE;2010;NA;NA
SOLIDARIEDADE;2011;NA;NA
SOLIDARIEDADE;2012;NA;NA
SOLIDARIEDADE;2013;NA;NA
SOLIDARIEDADE;2014;NA;NA
SOLIDARIEDADE;2015;NA;NA
SOLIDARIEDADE;2016;NA;NA
SOLIDARIEDADE;2017;NA;NA
SOLIDARIEDADE;2018;NA;NA
SOLIDARIEDADE;2019;NA;NA
PODE;2008;NA;NA
PODE;2009;NA;NA
PODE;2010;NA;NA
PODE;2011;NA;NA
PODE;2012;NA;NA
PODE;2013;NA;NA
PODE;2014;NA;NA
PODE;2015;NA;NA
PODE;2016;NA;NA
PODE;2017;NA;NA
PODE;2018;NA;NA
PODE;2019;NA;NA
PMB;2008;NA;NA
PMB;2009;NA;NA
PMB;2010;NA;NA
PMB;2011;NA;NA
PMB;2012;NA;NA
PMB;2013;NA;NA
PMB;2014;NA;NA
PMB;2015;NA;NA
PMB;2016;NA;NA
PMB;2017;NA;NA
PMB;2018;NA;NA
PMB;2019;NA;NA
PROS;2008;NA;NA
PROS;2009;NA;NA
PROS;2010;NA;NA
PROS;2011;NA;NA
PROS;2012;NA;NA
PROS;2013;NA;NA
PROS;2014;NA;NA
PROS;2015;NA;NA
PROS;2016;NA;NA
PROS;2017;NA;NA
PROS;2018;NA;NA
PROS;2019;NA;NA
PSD;2008;NA;NA
PSD;2009;NA;NA
PSD;2010;NA;NA
PSD;2011;NA;NA
PSD;2012;NA;NA
PSD;2013;NA;NA
PSD;2014;NA;NA
PSD;2015;NA;NA
PSD;2016;NA;NA
PSD;2017;NA;NA
PSD;2018;NA;NA
PSD;2019;NA;NA
PSC;2008;NA;NA
PSC;2009;NA;NA
PSC;2010;NA;NA
PSC;2011;NA;NA
PSC;2012;NA;NA
PSC;2013;NA;NA
PSC;2014;NA;NA
PSC;2015;NA;NA
PSC;2016;NA;NA
PSC;2017;NA;NA
PSC;2018;NA;NA
PSC;2019;NA;NA
DC;2008;NA;NA
DC;2009;NA;NA
DC;2010;NA;NA
DC;2011;NA;NA
DC;2012;NA;NA
DC;2013;NA;NA
DC;2014;NA;NA
DC;2015;NA;NA
DC;2016;NA;NA
DC;2017;NA;NA
DC;2018;NA;NA
DC;2019;NA;NA
PTC;2008;NA;NA
PTC;2009;NA;NA
PTC;2010;NA;NA
PTC;2011;NA;NA
PTC;2012;NA;NA
PTC;2013;NA;NA
PTC;2014;NA;NA
PTC;2015;NA;NA
PTC;2016;NA;NA
PTC;2017;NA;NA
PTC;2018;NA;NA
PTC;2019;NA;NA
PRTB;2008;NA;NA
PRTB;2009;NA;NA
PRTB;2010;NA;NA
PRTB;2011;NA;NA
PRTB;2012;NA;NA
PRTB;2013;NA;NA
PRTB;2014;NA;NA
PRTB;2015;NA;NA
PRTB;2016;NA;NA
PRTB;2017;NA;NA
PRTB;2018;NA;NA
PRTB;2019;NA;NA
PMN;2008;NA;NA
PMN;2009;NA;NA
PMN;2010;NA;NA
PMN;2011;NA;NA
PMN;2012;NA;NA
PMN;2013;NA;NA
PMN;2014;NA;NA
PMN;2015;NA;NA
PMN;2016;NA;NA
PMN;2017;NA;NA
PMN;2018;NA;NA
PMN;2019;NA;NA
PATRI;2008;NA;NA
PATRI;2009;NA;NA
PATRI;2010;NA;NA
PATRI;2011;NA;NA
PATRI;2012;NA;NA
PATRI;2013;NA;NA
PATRI;2014;NA;NA
PATRI;2015;NA;NA
PATRI;2016;NA;NA
PATRI;2017;NA;NA
PATRI;2018;NA;NA
PATRI;2019;NA;NA
PSTU;2008;NA;NA
PSTU;2009;NA;NA
PSTU;2010;NA;NA
PSTU;2011;NA;NA
PSTU;2012;NA;NA
PSTU;2013;NA;NA
PSTU;2014;NA;NA
PSTU;2015;NA;NA
PSTU;2016;NA;NA
PSTU;2017;NA;NA
PSTU;2018;NA;NA
PSTU;2019;NA;NA
PCO;2008;NA;NA
PCO;2009;NA;NA
PCO;2010;NA;NA
PCO;2011;NA;NA
PCO;2012;NA;NA
PCO;2013;NA;NA
PCO;2014;NA;NA
PCO;2015;NA;NA
PCO;2016;NA;NA
PCO;2017;NA;NA
PCO;2018;NA;NA
PCO;2019;NA;NA
UP;2008;NA;NA
UP;2009;NA;NA
UP;2010;NA;NA
UP;2011;NA;NA
UP;2012;NA;NA
UP;2013;NA;NA
UP;2014;NA;NA
UP;2015;NA;NA
UP;2016;NA;NA
UP;2017;NA;NA
UP;2018;NA;NA
UP;2019;NA;NA
