"V0011","V6121","n","n_se"
3304557005001,"0",3597.5148682417,0
3304557005001,"2",331.666636173021,0
3304557005001,"110",32341.37120553,0
3304557005001,"111",105.569745161911,0
3304557005001,"120",226.159105033568,0
3304557005001,"130",68.4921542442231,0
3304557005001,"210",13.0593913678295,0
3304557005001,"220",23.9539876792598,0
3304557005001,"225",70.1215574271556,0
3304557005001,"230",20.378105963289,0
3304557005001,"240",539.510993788503,0
3304557005001,"241",14.1772141145268,0
3304557005001,"242",19.9227480201455,0
3304557005001,"245",40.386343940219,0
3304557005001,"260",51.5628068805362,0
3304557005001,"310",2809.92203697062,0
3304557005001,"312",31.8075148456709,0
3304557005001,"319",74.8272064142146,0
3304557005001,"329",16.0666556841949,0
3304557005001,"340",51.6404624334563,0
3304557005001,"350",1345.59581280787,0
3304557005001,"360",48.1410443643213,0
3304557005001,"380",129.201906946344,0
3304557005001,"390",10.6539760755247,0
3304557005001,"430",92.2741695445878,0
3304557005001,"450",1011.34833198698,0
3304557005001,"451",61.3390531345936,0
3304557005001,"490",2013.27784909196,0
3304557005001,"499",58.43501459043,0
3304557005001,"520",143.603844023629,0
3304557005001,"610",1793.875287889,0
3304557005001,"620",205.710921830516,0
3304557005001,"630",127.024171135242,0
3304557005001,"750",133.243568602224,0
3304557005001,"760",22.0785121814469,0
3304557005001,"810",10.6539760755247,0
3304557005001,"830",41.9280341538496,0
3304557005001,"850",598.919509839115,0
3304557005001,"890",215.678192583091,0
3304557005001,"893",20.3449625322469,0
3304557005001,"990",132.561120697356,0
3304557005002,"0",4811.22214881758,0
3304557005002,"1",306.958999045799,0
3304557005002,"2",1119.74611241755,0
3304557005002,"110",19987.5981487445,0
3304557005002,"120",69.7243230324964,0
3304557005002,"130",21.7066468050286,0
3304557005002,"140",81.5771715017439,0
3304557005002,"220",65.2594578608565,0
3304557005002,"229",23.9873440513319,0
3304557005002,"230",21.6885156938894,0
3304557005002,"240",492.70550323948,0
3304557005002,"243",21.7066468050286,0
3304557005002,"260",251.424440832019,0
3304557005002,"270",57.8446856722467,0
3304557005002,"310",288.65625561164,0
3304557005002,"340",21.5019498161516,0
3304557005002,"350",142.185425027261,0
3304557005002,"430",101.7712280914,0
3304557005002,"450",230.428380328837,0
3304557005002,"451",23.9873440513319,0
3304557005002,"490",593.485261192197,0
3304557005002,"499",22.3168682588844,0
3304557005002,"590",16.1975274637744,0
3304557005002,"610",2026.67273190859,0
3304557005002,"620",224.164603735996,0
3304557005002,"630",281.585993175643,0
3304557005002,"710",484.491634083097,0
3304557005002,"740",22.3168682588844,0
3304557005002,"750",126.750318890686,0
3304557005002,"793",60.7747037650419,0
3304557005002,"810",32.192078048748,0
3304557005002,"820",41.8373054163832,0
