"pretty_name","company_id","has_abep","has_conre","avg","spm","weighted_pm","n","rev_mean","pred_pm","quant_bin","grade"
"Real Dados","03973340000197",FALSE,TRUE,3.724,-1.545,-1.919,16,0.047,-0.968,1,"A"
"Real Time Big Data","REAL TIME",FALSE,FALSE,3.863,-0.103,0.079,117,0.757,0.156,3,"B"
"RF Consultoria","20128172000152",FALSE,TRUE,6.912,1.74,1.808,8,0.047,0.659,4,"B-"
"RPP Logística","29669927000109",FALSE,FALSE,7.624,1.751,1.95,6,0.757,1.098,5,"C"
"Sebram","07268073000108",FALSE,FALSE,8.171,3.497,3.498,18,0.757,2.252,6,"D"
"Seculus Consultoria","24374946000186",FALSE,TRUE,6.472,0.784,0.821,19,0.047,0.479,3,"B"
"Sensatus Pesquisa","05693586000130",FALSE,FALSE,5.54,0.667,0.714,6,0.757,0.745,4,"B-"
"Sensor Pesquisas","10383383000188",FALSE,FALSE,8.608,2.739,2.799,5,0.757,1.267,5,"C"
"Sensor Pesquisas","15514430000107",FALSE,FALSE,10.071,3.879,3.853,10,0.757,1.995,6,"D"
"Sensus","86849395000117",TRUE,FALSE,4.42,0.182,0.809,9,0.047,0.333,3,"B"
"Serpes","02678167000131",TRUE,FALSE,3.959,-0.74,-0.625,46,0.047,-0.46,2,"B+"
"Sinfor","11047803000118",FALSE,TRUE,4.413,-0.438,-0.284,7,0.047,-0.058,2,"B+"
"Solução Treinamento","14602960000136",FALSE,FALSE,4.624,-0.51,-0.735,8,0.757,0.238,3,"B"
"Studio Pesquisas","72113046000128",FALSE,TRUE,4.709,-0.023,0.114,11,0.047,0.075,3,"B"
"Surgiu Pesquisas","13306192000100",FALSE,FALSE,6.181,0.343,0.302,7,0.757,0.612,4,"B-"
"Tecnodados","03688568000135",FALSE,FALSE,4.385,-1.394,-1.289,8,0.757,0.045,3,"B"
"Tendência Pesquisa (SC)","17988811000145",FALSE,TRUE,4.289,-1.439,-1.558,8,0.047,-0.511,2,"B+"
"TS2 Soluções","38061259000115",FALSE,TRUE,5.673,0.54,0.453,5,0.047,0.148,3,"B"
"UP Pesquisas","03042195000120",FALSE,FALSE,4.638,0.475,0.368,8,0.757,0.622,4,"B-"
"Vale Consultoria","13102873000157",FALSE,FALSE,5.253,0.406,0.755,9,0.757,0.756,4,"B-"
"Veiga Consultoria e Pesquisa","15422597000130",FALSE,FALSE,3.092,-0.887,-0.651,17,0.757,0.009,3,"B"
"Ver Pesquisa","09028982000102",TRUE,TRUE,3.516,-2.254,-2.53,6,0.047,-0.689,1,"A"
"Veritá","00654576000172",FALSE,FALSE,5.406,0.323,0.429,100,0.757,0.472,3,"B"
"Vetor Assessoria","00081933000150",FALSE,TRUE,3.276,-1.88,-1.272,5,0.047,-0.283,2,"B+"
"Voga Pesquisas","VOGA",FALSE,FALSE,5.255,0.381,0.527,7,0.757,0.684,4,"B-"
"Voice Pesquisas (MT)","11400305000107",FALSE,FALSE,3.684,-1.173,-0.789,13,0.757,0.039,3,"B"
"Vox Opinião Pública (SP)","23340485000168",FALSE,TRUE,5.959,1.418,1.309,11,0.047,0.581,4,"B-"
"Vox Populi","VOX POPULI",TRUE,FALSE,4.288,-0.138,0.005,50,0.047,0.015,3,"B"
"W J Mendes","15293191000102",FALSE,FALSE,6.134,0.884,1.045,10,0.757,0.872,4,"B-"
"Zaytec Brasil","08797064000177",FALSE,FALSE,6.875,2.008,1.74,5,0.757,1.003,4,"B-"
